t,1M,6M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
155,0.0648559725,0.0687478353,0.0674674071,0.0655753087,0.0640518321,0.0624501694,0.0610002595,0.0596815091,0.0584561833,0.0572743916,0.0560912909,0.0548717078,0.0535969227,0.0522619005,0.0508741772,0.0494500795,0.0480123453,0.0465841556,0.04518721,0.0438392187,0.0425558893,0.0413503003,0.0402331255,0.0392166092,0.0383128177,0.0375332625,0.0368861627,0.0363758502,0.0360035293,0.0357628076,0.0356454107,0.035644635,0.0357506526,0.0359489857,0.0362227228,0.0365584282,0.0369458215,0.0373781269,0.0378469994,0.0383441965,0.0388615157,0.0393908086,0.039924392,0.0404562523,0.040983738,0.0415060353,0.0420210478,0.0425271818,0.0430235276,0.0435125572,0.0440050557
156,0.0646555038,0.0685809298,0.0673277785,0.0654812104,0.0640017703,0.0624397951,0.0610270369,0.0597419612,0.0585468375,0.0573918677,0.0562323871,0.0550334458,0.053776564,0.0524569306,0.0510822867,0.0496691392,0.0482403737,0.0468192875,0.0454276791,0.0440833559,0.042802128,0.0415971751,0.0404792892,0.0394608412,0.0385540163,0.037770432,0.0371184008,0.0366023482,0.0362235573,0.0359757198,0.0358506812,0.035841853,0.0359394975,0.0361292295,0.0363942623,0.0367213068,0.0371002293,0.0375243815,0.0379855321,0.0384755588,0.0389863787,0.0395099646,0.0400387608,0.0405668927,0.0410918487,0.0416129362,0.0421281753,0.0426360969,0.0431359279,0.0436303079,0.0441301202
157,0.0646350809,0.0684857059,0.0671602218,0.0652679801,0.063749374,0.0621516757,0.0607081625,0.0593960565,0.0581773403,0.0570020131,0.0558252942,0.0546121622,0.0533440814,0.0520161694,0.0506360767,0.0492201951,0.0477912621,0.0463723957,0.0449851981,0.0436472785,0.042374254,0.0411791104,0.0400724624,0.0390665125,0.038173269,0.0374041604,0.0367672967,0.0362669018,0.0359040425,0.035672199,0.0355630416,0.0355698017,0.0356825359,0.0358866567,0.0361652069,0.0365047489,0.036895,0.0373291442,0.0377987685,0.0382955754,0.0388113062,0.0393377597,0.0398672123,0.0403936332,0.0409143551,0.0414285113,0.0419339431,0.0424290108,0.0429127826,0.0433877699,0.043864651
158,0.0646419877,0.0685359805,0.0672454765,0.0654043334,0.0639330901,0.0623764451,0.0609696132,0.0596889711,0.0584966237,0.0573427735,0.0561829291,0.0549824032,0.0537230093,0.0524001987,0.0510219362,0.0496049034,0.0481720946,0.0467468536,0.0453509911,0.0440023231,0.0427166794,0.0415072566,0.0403848975,0.0393620414,0.0384509247,0.0376631917,0.0370071554,0.0364872429,0.0361047098,0.03585323,0.0357247043,0.0357125882,0.0358071385,0.0359939701,0.036256361,0.0365811301,0.0369582509,0.0373811444,0.0378416213,0.0383316139,0.0388430928,0.039368088,0.0398991134,0.040430387,0.0409594908,0.0414857892,0.0420073498,0.0425227672,0.0430313564,0.043535906,0.0440473083
159,0.0633384653,0.0672174891,0.0659128288,0.0640823956,0.0626263594,0.0610865241,0.0596996422,0.0584408301,0.0572719121,0.0561428876,0.055009148,0.0538359327,0.0526049976,0.0513117204,0.0499639726,0.0485783183,0.0471776012,0.0457849835,0.0444220772,0.0431064981,0.041853881,0.0406772267,0.0395871989,0.0385960663,0.0377158864,0.0369581121,0.0363308517,0.0358383288,0.0354815802,0.0352540669,0.0351475126,0.0351551902,0.0352671488,0.0354687993,0.0357432474,0.0360771617,0.0364603645,0.0368861068,0.0373460154,0.0378318454,0.0383353898,0.0388485023,0.0393635271,0.0398745242,0.0403789174,0.0408758952,0.041363344,0.0418396859,0.0423040758,0.0427591716,0.0432156521
160,0.0629309701,0.0667888149,0.0654616935,0.0636316195,0.0621784193,0.0606412223,0.0592584573,0.0580041063,0.0568398499,0.0557156178,0.054586817,0.0534187471,0.0521932389,0.0509057288,0.049564128,0.0481850153,0.0467912163,0.0454058442,0.0440504449,0.0427425665,0.041497782,0.0403290289,0.0392469245,0.0382636999,0.0373913662,0.0366413173,0.03602159,0.0355363364,0.0351865077,0.0349654845,0.0348649466,0.0348781166,0.0349949687,0.0352008425,0.0354788045,0.0358155056,0.0362007499,0.0366277504,0.0370880832,0.0375734588,0.038075625,0.0385863925,0.0390980683,0.0396046869,0.0401036472,0.0405940936,0.0410738647,0.0415413427,0.041995655,0.0424394617,0.042883383
161,0.062659605,0.0665127266,0.0651790695,0.0633646795,0.06192894,0.0604083988,0.0590431736,0.0578061106,0.0566587571,0.0555509795,0.0544382075,0.0532858069,0.0520756892,0.050803356,0.0494767637,0.0481125118,0.0467334136,0.0453625389,0.0440213738,0.0427274048,0.041496149,0.0403404868,0.0392709954,0.0382998742,0.0374390937,0.0366999953,0.0360905497,0.0356148441,0.0352737496,0.0350605731,0.0349669562,0.0349860775,0.0351078423,0.0353175248,0.0355981589,0.0359363839,0.0363219913,0.0367481626,0.0372064289,0.0376884622,0.0381859714,0.0386907298,0.0391950139,0.0396928387,0.0401815837,0.040660356,0.0411269517,0.0415797197,0.042017766,0.0424437588,0.0428682708
162,0.0623282868,0.0661597029,0.0648022011,0.0629858385,0.0615495017,0.0600272976,0.0586610905,0.0574226364,0.0562734058,0.0551632549,0.054047689,0.0528921926,0.0516788108,0.0504031622,0.0490733006,0.0477058989,0.0463238098,0.0449501123,0.0436062847,0.0423098046,0.0410761855,0.0399183033,0.0388467474,0.037873738,0.0370112578,0.0362706472,0.0356598639,0.0351829821,0.0348408456,0.0346267397,0.0345323208,0.0345507755,0.0346719926,0.0348812337,0.0351615523,0.0354996288,0.0358852947,0.036311752,0.0367705393,0.0372533425,0.0377518841,0.0382579525,0.0387638459,0.0392636125,0.039754665,0.0402361249,0.0407057989,0.0411620546,0.0416040294,0.042034452,0.0424639061
163,0.0618629247,0.0657478344,0.0644334988,0.0626742433,0.061288683,0.0598089019,0.0584788468,0.0572695058,0.0561426071,0.0550483275,0.0539425782,0.0527912929,0.0515769801,0.0502957054,0.0489559502,0.0475747899,0.046175447,0.0447813393,0.0434142673,0.0420920296,0.0408304666,0.0396427792,0.0385398997,0.037534399,0.0366386015,0.0358641772,0.0352194003,0.0347086623,0.0343331093,0.0340863358,0.0339603427,0.0339486546,0.0340414739,0.0342243796,0.0344807753,0.0347977125,0.0351653924,0.0355773678,0.0360255145,0.0365018626,0.0369984781,0.0375074947,0.0380215624,0.0385350926,0.0390458609,0.0395533338,0.0400556582,0.0405515505,0.04104051,0.0415256557,0.04201791
164,0.0622887873,0.0660626487,0.0646459547,0.0628164897,0.061371723,0.0598410349,0.0584696896,0.0572271303,0.0560745775,0.0549617592,0.0538442233,0.0526875831,0.0514740406,0.0501993384,0.0488716155,0.04750758,0.0461300537,0.0447620235,0.0434248422,0.0421358597,0.0409104728,0.0397614385,0.0386992618,0.0377360945,0.036883833,0.0361537069,0.035553537,0.035087262,0.0347555609,0.0345515672,0.034466857,0.034494523,0.0346243108,0.0348413476,0.0351286173,0.0354727727,0.0358636152,0.0362942777,0.0367562041,0.0372409985,0.0377403006,0.0382458195,0.0387497876,0.0392462094,0.0397324539,0.0402075622,0.0406692516,0.0411158182,0.0415463528,0.0419635951,0.0423780029
