t,r_t
121,5.761082142994655
122,5.810703659967918
123,5.7769682305123045
124,5.788822305089846
125,5.781045794016047
126,5.73865485251979
127,5.762586362982891
128,5.800827682128346
129,5.72163614973797
130,5.762412888896258
131,5.791606398831022
132,5.789417029934759
133,5.793564540347596
134,5.762621015640646
135,5.7824811105615
136,5.784566231643852
137,5.821938841930482
138,5.807395945848129
139,5.794455893807486
140,5.813654079558292
141,5.783066897533696
142,5.769661776416046
143,5.805198241396796
144,5.787765255465244
145,5.810600021305887
146,5.878532466114442
147,5.851101816989305
148,5.810709352361504
149,5.799760851877011
150,5.778308258277008
151,5.7745053970128355
152,5.758302336711234
153,5.729724128313371
154,5.7671118196727305
155,5.797754139934758
156,5.747456682679148
157,5.745573279398931
158,5.674977226417113
159,5.6778051328780785
160,5.6923008661133725
161,5.68083849216043
162,5.722680760104814
163,5.700160400686632
164,5.745254415531554
165,5.658081364954012
166,5.673915552790376
167,5.729615613972195
168,5.74463523940749
169,5.731422454671661
170,5.749504157366848
171,5.752907134497328
172,5.767477088100537
173,5.7105124726748695
174,5.718684181528346
175,5.745694243406421
176,5.706916063605352
177,5.70693015103316
178,5.716259455000004
179,5.742662998533693
180,5.727253779786098
181,5.701340626253475
182,5.761269349733691
183,5.743858087329413
184,5.7168252793347625
185,5.740397241991447
186,5.712633535556152
187,5.70302404342781
188,5.713068753040649
189,5.70188807927487
190,5.71534188316685
191,5.711731291441714
192,5.751615845259893
193,5.745900122185028
194,5.69651916411551
195,5.7231918566374365
196,5.717451244994653
197,5.793459712998934
198,5.7176508906930525
199,5.7288170621294165
200,5.756576055954013
201,5.781212720685566
202,5.730676584374334
203,5.8053230370534825
204,5.779514382219255
205,5.728227469840646
206,5.738940042101608
207,5.754085092435297
208,5.79642795608984
209,5.765034244689842
210,5.79198976023102
211,5.784729462457756
212,5.773859753366847
213,5.8200980284139066
214,5.807083943514444
215,5.81005396856578
216,5.770922965981823
217,5.799561924862033
218,5.8377167127540135
219,5.864473858314445
220,5.8234081270598965
221,5.832720365288774
222,5.846410953770058
223,5.879349731125137
224,5.852946510527276
225,5.837904217604283
226,5.824383870979684
227,5.760335757551878
228,5.842615485821394
229,5.90933530817113
230,5.758426083483423
231,5.726086544701609
232,5.735396603367916
233,5.765997637821398
234,5.707725545527274
235,5.543705199571125
236,5.732179498445994
237,5.632969517155084
238,5.606778895302677
239,5.6206994220823585
240,5.715085707188241
241,5.733671658456687
242,5.784383032288776
243,5.561287815405352
244,5.77683503089947
245,5.741748173899471
246,5.715123405045995
247,5.858786323801073
248,6.123465502314442
249,5.809281694555082
250,5.774972654894122
251,5.599344974080217
252,6.032600677470594
253,5.890811507437438
254,5.902831553839577
255,5.870737488265243
256,5.832384748798935
257,5.808781300237443
258,5.847258006463105
259,5.888456077681289
260,5.907627778721929
261,5.8979521863465285
262,5.9253760707026775
263,5.900300505210701
264,5.93687282556364
265,5.8922196086374345
266,5.873472021613905
267,5.8292323309721965
268,5.759745304775405
269,5.663381031322995
270,5.680670634470593
271,5.753929935137971
272,5.7325026252759415
273,5.833156993150803
274,5.677193841263108
275,5.679206007675936
276,5.695406064010697
277,5.648749836349735
278,5.678841593901612
279,5.733203782204284
280,5.740692197882356
281,5.687685575896261
282,5.758451944851339
283,5.715828986253477
284,5.6980794003914506
285,5.686535293737972
286,5.675468213961501
287,5.6783177003786145
288,5.691340037977546
289,5.672551454572197
290,5.646194896862037
291,5.719762966770058
292,5.650742577251343
293,5.645251505935834
294,5.612813343373266
295,5.630466508850272
296,5.578588215332623
297,5.640268610237435
298,5.627725634381822
299,5.5773133171112335
300,5.635927113717651
301,5.712775428177544
302,5.573557076000007
303,5.54547816707701
304,5.521691134218186
305,5.49944272837968
306,5.52292082761177
307,5.405801904383963
308,5.432668702116578
309,5.418343172505888
310,5.32221008218824
311,5.432445972431019
312,5.333733530770055
313,5.3199044341914465
314,5.292766268970054
315,5.464490630072729
316,5.4158654196941205
317,5.467022244723001
318,5.487439001802143
319,5.482905495151876
320,5.416938619101608
321,5.422377986183961
322,5.464491430121928
323,5.399774378368989
324,5.4252639165026775
325,5.406803046840644
326,5.423728070083426
327,5.4233877530984
328,5.321627792373265
329,5.318965607318718
330,5.406621606364709
331,5.313313199331554
332,5.209916839525135
333,5.199685673572196
334,5.320212681935836
335,5.169669262639575
336,5.14261474940214
337,5.182829627704816
338,5.214424645473801
339,5.0597076851893075
340,5.102158936204285
341,5.119708248397863
342,5.096548542274872
343,5.066475881089843
344,5.1023976196470615
345,5.076481706983962
346,5.0658833030342265
347,5.000387258349733
348,5.012663592247063
349,4.853790069814974
350,5.011485877551874
351,4.977441864130486
352,5.0637799886320884
353,5.026775567395726
354,4.9660763701369
355,5.0029839260684525
356,5.04137896687701
357,5.028707607472733
358,5.009400455249201
359,4.995904174334764
360,5.038750160719788
361,5.064563377513373
362,4.993398605981822
363,5.0157737096951935
364,4.8950617783058865
365,4.859462261812837
366,4.959444767717652
367,4.976250356632085
368,4.947334921888773
369,4.970093594250271
370,4.962834148398933
371,5.024299465144388
372,5.039056450288773
373,4.997669909146529
374,4.928309847912303
375,4.991904744204281
376,4.994687322166847
377,4.942122631414974
378,4.9597936851743345
379,4.981325380044921
380,4.982496348516579
381,4.978132210108023
382,5.009036852547596
383,4.958573969288774
384,4.919947877255617
385,5.012938574848132
386,4.97992974335508
387,4.968059713808559
388,4.983711850023529
389,5.016976233993585
390,5.022223640041714
391,4.998043362868453
392,4.995912535094123
393,4.967151204396795
394,4.976337250105885
395,5.040297143996792
396,5.032424146740113
397,5.0483867716010735
398,5.01729768351016
399,5.002557612545462
400,5.024653314421392
401,4.830196140372196
402,4.8221635963775435
403,4.83971430465348
404,4.867008320559362
405,4.863210807936902
406,4.838942231501607
407,4.884069227746529
408,4.894534300427811
409,4.907327056643856
410,4.863218287021397
411,4.847316819956154
412,4.9200317038117705
413,4.86540416258717
414,4.868382525766849
415,4.808984922121926
416,4.743191131557224
417,4.627631844822463
418,4.748848383209628
419,4.786833923387171
420,4.761830324838505
421,4.7325962312631065
422,4.751419488885563
423,4.732665904234228
424,4.746325271155082
425,4.734760440516581
426,4.770726013817115
427,4.7999757086738
428,4.87042862456578
429,4.794829384033159
430,4.744349961217116
431,4.867624012588241
432,4.4737062320042815
433,4.592132372486633
434,4.48322115190054
435,4.379684789311234
436,4.314156500945461
437,4.363418753583957
438,4.408325437464175
439,4.350440677372195
440,4.383639075587167
441,4.360553818773264
442,4.361441227713373
443,4.314111321437436
444,4.413925249365776
445,4.318592364260968
446,4.292987761099466
447,4.303771748050269
448,4.3015333509861
449,4.305763102752942
