z1,z2
-0.37904793,1.26036
-0.24825194,0.8649423
-1.0855004,0.6542048
-1.0683273,0.68517864
0.14006276,2.0361366
0.8775477,0.13551494
-0.23197629,0.9642624
-0.23034416,-0.24199487
0.85306233,0.14231989
-1.1613677,0.68641347
0.8418628,0.06560119
-0.6706791,1.3075361
-0.2277217,-0.0036772937
-0.28665525,0.9863219
-0.19140077,1.5848297
-0.076485746,1.6861244
-0.20843017,1.114631
0.7688876,0.24098215
-1.0093275,0.59740657
-0.3549156,1.1232048
0.3281793,0.6669019
-0.28950572,-0.049508195
-1.1151359,0.6537982
-1.2363379,0.46740288
-1.0779961,0.66424876
2.138876,-0.92340285
0.81819475,0.15914044
-0.20047668,1.1318128
2.1159704,-0.87110895
-0.37125546,1.2255647
0.16159602,-0.11483379
-0.3859266,-0.0827287
-1.0844288,0.6757517
-0.66097367,0.33060414
-0.6326867,1.269538
-2.3513205,0.45195287
1.3777802,-0.31673703
-0.2638541,-0.005498063
2.1102815,-0.8802798
1.9777919,-0.7675184
-0.359146,-0.07064262
-0.48634112,1.3248913
-1.791454,0.35889184
-0.61833626,1.2396613
2.091435,-0.8988854
1.6712546,-0.49046192
1.4569559,-0.32870334
-0.7776734,0.4702686
1.5693922,-0.5388859
0.8683905,0.07544778
-0.8073236,1.4822683
-0.6862644,1.2682303
-1.0356654,0.6749794
-0.60683453,1.3871442
0.40009362,0.15278871
-0.47451097,1.5462315
-0.75960416,1.3322467
0.3981446,0.054013394
-0.5543503,1.4310586
-0.4371515,-0.03322581
2.1043975,-0.86475456
0.8022531,0.19359443
-0.2513895,0.0050873086
2.0405588,-0.9332204
-0.67425257,0.19837314
0.19175954,1.9741324
-2.3544133,0.38907948
1.6940655,-0.31215423
0.74977195,0.18332125
1.6746366,-0.3998948
1.7122167,-0.3660212
-0.6113744,0.2775669
0.8501311,0.20568752
0.41489,0.07642432
0.6934361,0.16669601
0.10183619,1.8359133
-0.122800015,-0.059108272
-0.32579714,1.1454142
0.7192648,0.15047611
0.7421288,0.23565671
1.535631,-0.5601856
-0.31102562,-0.06918508
1.7101957,-0.33678046
0.014559969,-0.040535495
0.85918325,0.17469653
-1.0569903,0.7009038
0.3153001,0.4937731
0.789317,0.2079765
0.84666914,0.19039074
1.7662818,-0.32450697
-0.18416023,1.0099342
