z1,z2
1.4247198,0.48929396
0.057628978,-1.2528279
0.17462906,0.006637316
-2.0471764,-0.26211095
0.3645943,0.40411413
-0.03424472,1.2381521
1.8284038,0.0066100396
-0.99925756,-0.87220377
0.49687725,0.8716038
0.23158072,0.48596254
-0.87275374,-0.9883344
-2.5336204,0.1719869
2.1190975,-0.54807585
0.77241254,-0.019734316
0.30360568,-1.2675105
1.2162256,1.081234
-1.4588263,-0.2818451
0.36871585,1.0425544
0.7846501,0.14467931
0.30080763,0.7775571
0.6965396,0.20526996
-1.6609232,-0.81070924
0.25032508,1.2231966
-1.7851967,-0.7925313
0.1650553,0.76234066
-2.5889075,0.17156138
0.12291525,0.7984226
-1.4053935,-0.51789796
-2.126707,-0.099601135
0.6778654,0.24026427
0.16749288,0.5179353
1.2565967,0.7898425
1.064555,0.9284837
1.4188185,0.9376233
0.23625074,0.82026875
-1.2543609,-0.71149707
2.1361055,0.76366365
0.041214082,1.3772582
0.57742536,0.6881572
2.0669243,-0.17890981
0.1652736,0.46938065
0.5097616,0.34811723
-0.03204528,0.3852659
-1.8637488,-0.45709854
0.3951363,1.0425779
0.544787,1.239104
-1.9647946,-0.26493505
1.8733616,0.6959223
0.66402256,0.25183758
-1.1752747,-0.8335686
-1.3686429,-0.7637153
2.4571314,0.8433926
-1.1214643,-0.7937027
0.7873633,0.14349476
1.1321189,0.61765736
0.78846055,1.3422985
1.5154884,-2.4428232
0.49012244,0.4469004
1.8931277,-2.53049
0.5661272,-1.5572387
0.5514206,0.71416765
-0.03348743,0.38284642
0.14373669,0.63801366
0.3812124,1.1866448
0.21702589,-0.071922675
0.5279068,0.65243185
0.91928387,-0.008246914
2.4000325,0.5136062
0.04968838,1.3830316
-1.4183822,-0.48283148
0.69285166,0.60005414
0.17406851,0.6930367
-2.5134516,0.06829783
0.3340793,1.2897857
0.22474293,0.5000291
1.3891299,0.024912942
0.74972135,1.4009482
-0.0071413517,1.2119799
-0.714552,-0.6804981
-0.012854233,0.82681626
1.9708816,0.6192316
-1.3504802,-0.44983223
0.23385032,-1.1478242
0.6884547,0.27252707
0.6029903,1.2839909
1.0917989,-0.19075535
1.9494021,-0.09488137
0.96757966,-2.0260062
-0.9984607,-1.0146126
1.0060843,0.29366195
2.225823,-2.9340107
2.3110983,-3.000011
-1.5481461,-0.45770264
0.40932754,-0.28123513
0.532844,0.6351644
1.0169885,0.3043774
0.5371493,1.2217544
-1.4347352,-0.51765734
-0.6209962,-0.8273944
1.6943543,0.1834442
0.65024817,-0.19631171
0.68185896,-1.4852395
2.3874164,0.50574356
0.4022815,-0.16743998
0.73743063,-0.0356401
0.31606275,0.38984543
0.26062173,0.46011075
0.4296474,1.0151045
0.6884755,0.63598293
1.3313247,0.05154604
-1.6520792,-0.8361577
-1.798022,-0.25019374
0.22296958,0.7510907
0.49087065,0.7970402
0.7686335,1.4575883
0.5075993,0.7190317
1.9444921,0.58944756
0.3853838,0.48394254
1.1339982,-0.16700785
0.90075356,0.433808
1.7748988,-0.09125824
-2.2399943,-0.032323964
0.4786412,-0.2862904
0.50770557,0.5837891
0.41320872,0.36422765
-0.026970854,-1.0366536
0.40677282,1.1851896
1.2490631,1.0353119
-1.9544449,-0.2108584
1.6724372,-0.24201109
1.7947215,0.025676224
0.20083703,0.4905214
1.1018631,0.716331
1.1734388,1.0263855
0.31244993,0.88341683
0.893195,0.09566036
-0.115085825,1.6031079
-0.9732709,-1.0044727
-0.09334289,1.5420069
-2.3732836,-0.3737969
-0.051391028,1.5000112
-1.4515686,-1.0540261
0.39468795,1.160203
0.31037098,-1.3586466
0.83213055,0.7315933
0.5639088,0.6375583
0.5583515,0.9963288
1.5487452,0.8962728
1.2175865,0.578199
0.99574715,0.9470648
0.1444664,0.70258915
0.055030186,1.3397701
0.03604329,0.53595585
1.3585677,0.06615198
-1.900484,-0.20341538
2.065596,0.9571478
-1.0685135,-0.9378586
0.34519148,0.8153375
2.0910134,-2.7349637
1.3120985,0.992891
-1.3301075,-0.7090308
0.9133522,0.42964342
0.4115773,0.97138804
1.194969,-0.22163406
0.6832275,0.6679032
-0.31793085,-0.9034839
0.22536324,0.7930909
0.7411725,0.24363634
0.057833966,-1.2576512
0.3536384,1.1273153
0.57371956,0.44691828
1.7495508,0.08091965
1.0083798,0.80397594
0.9705065,0.5346284
0.18727407,0.82943547
-2.5058792,0.07936926
1.9281616,0.75203454
2.3033628,-0.615082
1.0132704,0.5778227
-1.4013959,-1.002385
1.5333132,0.45920077
-2.5387115,-0.14681722
1.0335598,0.03574353
-0.114717335,0.6284356
0.57760066,-1.6078334
1.0863998,-0.077757895
0.8037027,0.033073377
0.3391406,0.40295458
0.6629093,0.69566965
0.23365425,0.7522727
1.0970693,0.13470763
2.2399385,-2.9096906
2.6077948,-3.1665874
0.06846778,0.5099478
-0.19647393,-0.9786754
0.022706833,1.2622439
1.572945,-0.042886987
0.43564147,1.0093396
0.26796848,0.7731232
0.7383619,-1.6717321
-1.1540056,-0.8973789
0.4551448,0.5388804
-0.997751,-0.6250398
0.5591876,1.1728636
-1.6513696,-0.83917487
