3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,15 Yr,20 Yr,25 Yr
5.18,5.13,4.98,4.75,4.75,4.85,4.88,4.74,4.52
5.09,4.81,4.18,3.68,3.92,4.39,4.54,4.51,4.41
0.41,0.37,0.61,2.01,2.73,3.71,4.08,4.16,4.18
4.55,4.59,4.63,4.67,4.64,4.54,4.44,4.3,4.15
1.6,1.28,1.35,2.76,3.3,3.88,4.31,4.49,4.36
0.53,0.54,0.69,1.89,2.86,4.25,4.69,4.75,4.72
0.47,0.47,0.71,2.07,2.98,4.2,4.57,4.59,4.51
4.42,4.4,4.37,4.37,4.36,4.31,4.23,4.12,4.01
3.55,3.17,2.9,3.39,3.9,4.6,4.85,4.84,4.65
0.51,0.54,0.55,0.87,1.46,2.73,3.49,3.86,4.02
0.53,0.53,0.44,0.5,0.96,2.13,2.87,3.3,3.52
5.13,4.87,4.38,4.01,4.17,4.47,4.51,4.44,4.34
