3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.9674,2.1404,2.2171,2.4397,2.7706,3.0312,3.2591,4.0963
2.8838,2.8107,2.9188,3.0498,3.1711,3.4480,3.5356,4.1843
2.9478,3.0023,3.1311,3.6204,3.7296,3.8833,4.0244,4.3000
2.7220,2.8000,2.8229,2.6811,2.8840,3.0601,3.1260,3.5800
1.4800,1.5700,1.7000,2.1577,2.5866,2.7200,2.9405,3.5500
2.7559,2.7682,2.8355,2.9330,3.1236,3.4038,3.5054,4.1351
1.9941,2.0307,2.1000,2.2772,2.6600,2.8313,3.0885,3.7498
1.5807,1.6800,1.7220,2.2700,2.4600,2.7300,3.0200,3.6500
1.4900,1.5900,1.6892,2.1656,2.5865,2.7130,2.9800,3.5483
1.9006,2.1097,2.2328,2.5089,2.6837,2.8304,2.8528,3.2332
2.6954,2.7360,2.8271,3.1877,3.2823,3.4200,3.5171,4.1736
3.1502,3.2424,3.3200,3.6900,3.9429,3.9979,4.1285,4.3950
2.2749,2.4064,2.3728,2.6602,2.8921,3.1297,3.3100,4.1304
1.9500,1.9868,2.1155,2.2212,2.3888,2.5724,2.8639,3.5958
1.5000,1.6100,1.7141,2.1500,2.5537,2.6600,2.9200,3.5200
3.2074,3.2650,3.3500,3.3870,3.5270,3.6150,3.7143,4.2724
3.2211,3.2600,3.3481,3.3919,3.5279,3.6063,3.7155,4.2832
1.6450,1.7900,1.9300,2.3900,2.6951,2.7800,3.0900,3.7000
1.6066,1.8236,1.8990,2.2070,2.3636,2.5317,2.5564,2.8938
3.2217,3.4222,3.5506,3.8952,4.0698,4.2351,4.4042,4.9506
3.2852,3.3434,3.5327,3.7782,4.0351,4.1497,4.3179,4.7014
2.7562,2.7685,2.8355,2.9225,3.1236,3.4016,3.5004,4.1330
2.7668,2.7879,2.8489,2.9569,3.1545,3.4266,3.5357,4.2058
2.0200,2.1714,2.2500,2.3025,2.5262,2.6364,2.8969,3.6067
2.2900,2.2930,2.4317,2.6672,2.8367,3.2076,3.3866,4.1335
2.8996,2.8572,2.8958,3.0025,3.1871,3.4342,3.5316,4.1254
2.4349,2.4400,2.4357,2.4634,2.7380,2.8723,3.0424,3.7155
2.9646,2.9202,2.9475,3.0602,3.2029,3.4379,3.5340,4.1321
1.7950,1.8710,2.0000,2.5150,2.8100,2.9450,3.2350,3.8800
2.7067,2.6910,2.7644,3.1014,3.2158,3.4333,3.5036,4.2163
1.8739,2.0615,2.2303,2.5118,2.6979,2.8356,2.8584,3.2421
1.4500,1.5500,1.6400,2.0500,2.4800,2.6900,2.9291,3.5000
2.9650,2.6866,2.8176,2.9119,3.1364,3.3961,3.4810,4.0957
2.0991,2.2184,2.3420,2.5235,2.9143,3.1039,3.3253,4.0934
2.4436,2.5380,2.5899,2.5813,2.7978,2.9278,3.0703,3.8241
3.0000,3.0597,3.1081,3.6443,3.7873,3.8802,4.0460,4.3100
3.2699,3.3161,3.4497,3.8476,4.0684,4.2746,4.4716,4.7696
3.2690,3.3346,3.4730,3.9216,4.1471,4.3057,4.4562,4.9061
3.0250,3.0774,3.2374,3.7115,3.9321,3.9885,4.1151,4.4000
3.1759,3.2856,3.4150,3.7000,3.8828,3.9867,4.1439,4.4800
1.9202,1.9388,2.0195,2.2577,2.5474,2.6412,2.9974,3.7119
2.8347,2.8315,2.8816,2.9948,3.1863,3.4514,3.5502,4.1517
3.0888,2.8502,2.9325,3.0158,3.1382,3.3971,3.5160,4.0917
2.1592,2.2650,2.2952,2.6024,2.8429,3.0775,3.2755,4.1141
1.9583,2.0450,2.2066,2.4895,2.6793,2.8014,2.8277,3.2031
2.3568,2.4313,2.4183,2.7202,3.0012,3.2073,3.3105,4.1416
1.5431,1.6500,1.7306,2.2500,2.4500,2.6700,3.0000,3.5960
2.7557,2.7729,2.8572,2.9980,3.1592,3.4209,3.5520,4.2049
0.9509,0.9834,1.0959,1.3696,1.7844,2.1288,2.7390,3.6322
1.7005,1.8635,1.9161,2.2799,2.4744,2.6613,2.6701,3.0420
1.5300,1.6300,1.7250,2.2400,2.5400,2.7200,3.0000,3.6000
3.0550,3.0731,3.2560,3.6733,3.8559,4.0150,4.1493,4.5150
2.1017,2.1909,2.2490,2.5153,2.6801,2.8244,2.8604,3.2270
2.4888,2.5116,2.6255,2.9250,3.0762,3.2778,3.3887,4.1643
3.3094,3.3250,3.5635,3.9157,4.2544,4.4044,4.5360,4.9580
3.3312,3.4248,3.5800,3.9242,4.2045,4.2854,4.4136,4.8708
2.3190,2.3780,2.2024,2.4331,2.5450,2.6614,2.6684,2.9388
2.7882,2.8016,2.8985,3.1001,3.2335,3.4655,3.5752,4.1997
1.6950,1.8400,2.0000,2.4800,2.7000,2.8500,3.1000,3.7000
2.7699,2.7830,2.8731,2.9152,3.1411,3.4275,3.5203,4.1440
2.8664,2.8274,2.8744,3.0659,3.2647,3.4562,3.5397,4.1947
2.8255,2.8212,2.8399,3.0156,3.1852,3.4549,3.5511,4.1973
1.5350,1.6400,1.7400,2.2131,2.5500,2.7104,3.0200,3.5750
1.8029,2.0819,2.1027,2.3230,2.4685,2.6249,2.6150,2.9732
1.9734,2.0422,2.1323,2.4203,2.5854,2.7276,2.7484,3.1058
2.8290,2.8142,2.8216,2.9856,3.1781,3.4444,3.5357,4.1918
2.7652,2.7925,2.8541,2.9530,3.1538,3.4162,3.5389,4.2058
2.8530,2.8541,2.9278,3.1528,3.2821,3.4812,3.5925,4.2010
2.7215,2.7592,2.8401,3.1540,3.2891,3.4310,3.4956,4.1643
1.7301,1.9000,2.0200,2.4900,2.7200,2.9100,3.1500,3.8100
2.4115,2.4330,2.3769,2.4947,2.5920,2.6750,2.6725,2.9537
1.6010,1.7863,1.8102,2.2566,2.4544,2.6373,2.6597,3.0103
1.4900,1.5800,1.6800,2.0898,2.4800,2.7230,2.9000,3.5200
1.5600,1.6300,1.7205,2.2757,2.6217,2.7888,3.0600,3.6500
3.0100,3.1041,3.1281,3.6454,3.7880,3.8922,4.0563,4.3100
1.9903,2.1332,2.2353,2.4453,2.7881,3.0449,3.2752,4.1096
3.1519,3.2250,3.4000,3.6977,3.9385,4.0376,4.1411,4.7100
2.0484,2.1446,2.2591,2.4137,2.8136,3.0658,3.2860,4.1060
2.7637,2.7903,2.8562,2.9582,3.1508,3.4126,3.5391,4.2058
3.3104,3.3563,3.4911,3.9801,4.2098,4.3653,4.5331,4.9361
2.4262,2.4952,2.4622,2.7841,3.0555,3.2365,3.3467,4.1460
1.9816,2.0628,2.1781,2.5374,2.6950,2.8648,2.8914,3.2810
2.3027,2.3789,2.2807,2.4480,2.5518,2.7103,2.7133,3.0104
3.1500,3.2449,3.3500,3.7600,3.8703,3.9751,4.1309,4.5000
2.0893,2.1442,2.2699,2.3848,2.8045,3.0574,3.2810,4.0981
1.7056,1.8490,1.9731,2.2646,2.4532,2.6637,2.6951,3.0784
3.1340,3.2150,3.3641,3.6086,3.8300,3.9180,4.0631,4.5720
2.9466,2.8962,2.9269,3.0497,3.1814,3.4218,3.5164,4.1027
2.8576,2.8106,2.9152,3.0450,3.1686,3.4353,3.5279,4.1893
3.1869,3.2396,3.3041,3.4128,3.5281,3.6050,3.6809,4.2851
3.1705,3.1991,3.3741,3.7068,3.8746,4.0335,4.1626,4.5808
2.7710,2.7754,2.8595,2.9163,3.1362,3.4219,3.5191,4.1430
1.6561,1.8155,1.8887,2.2420,2.4522,2.6496,2.6822,3.0651
1.4725,1.5800,1.6916,2.1731,2.4873,2.6700,2.9400,3.5000
1.6061,1.8344,1.8705,2.1942,2.3456,2.5156,2.5403,2.8894
2.5948,2.6573,2.7023,3.1650,3.2645,3.4406,3.4909,4.1776
0.9600,1.0130,1.0966,1.3191,1.7749,2.1782,2.7301,3.6515
1.1700,1.2265,1.2958,1.5807,1.9926,2.4716,2.9237,3.7026
3.0200,3.0510,3.2374,3.7111,3.9162,3.9683,4.0750,4.3900
1.4700,1.5400,1.6800,2.0300,2.4100,2.6100,2.9000,3.4800
1.7658,2.0650,2.1377,2.3677,2.5178,2.6602,2.6626,2.9948
1.5100,1.5800,1.7200,2.0200,2.3900,2.6000,2.9100,3.5100
2.3143,2.4499,2.4378,2.7155,2.9592,3.1820,3.3545,4.1527
1.9795,2.0401,2.1215,2.4084,2.5635,2.7056,2.7311,3.0882
2.0217,2.0327,2.1894,2.4920,2.6690,2.8000,2.8258,3.1726
2.3713,2.3437,2.4267,2.6848,2.8909,3.2366,3.4116,4.1300
2.7477,2.7866,2.8612,2.9972,3.1634,3.4223,3.5518,4.2048
2.7300,2.7500,2.8399,2.9778,3.1588,3.4105,3.5414,4.2095
1.7700,1.8400,1.9900,2.4800,2.7180,2.9200,3.1800,3.8100
2.8577,2.8337,2.8665,3.0317,3.2474,3.4414,3.5311,4.1923
1.5701,1.6700,1.7206,2.2500,2.4500,2.6700,3.0000,3.6200
1.5453,1.6500,1.7299,2.2500,2.4600,2.6700,3.0000,3.6000
3.2411,3.3000,3.3599,3.3876,3.5519,3.6449,3.7276,4.2859
1.7019,1.8322,1.9018,2.3207,2.5027,2.6776,2.6876,3.0619
2.2052,2.2973,2.3257,2.4950,2.5862,2.7250,2.7177,2.9978
2.4995,2.5394,2.6775,2.9402,3.0954,3.2609,3.4001,4.1606
3.1572,3.1977,3.3782,3.6487,3.9000,3.9948,4.1429,4.6822
2.8496,2.8311,2.8452,2.9909,3.1826,3.4407,3.5590,4.1386
2.9533,2.8782,2.9322,3.0326,3.2133,3.4621,3.5465,4.1327
3.1258,3.2050,3.3564,3.6096,3.8500,3.9300,4.1015,4.6220
3.0654,2.9256,2.9437,3.0253,3.1607,3.4338,3.5335,4.1017
2.9667,2.7275,2.8131,2.9149,3.1409,3.3951,3.4785,4.0932
3.0629,3.0874,3.2737,3.6981,3.8535,4.0374,4.1676,4.5419
2.0009,2.1998,2.1677,2.3713,2.5256,2.6775,2.6751,3.0022
1.9357,2.1890,2.1877,2.4758,2.5629,2.6973,2.6777,2.9997
1.7500,1.8500,2.0070,2.4800,2.7150,2.9280,3.1590,3.8000
1.7950,1.8600,1.9800,2.4409,2.7468,2.9300,3.1900,3.8100
2.8480,2.8720,2.9178,3.1569,3.3025,3.4888,3.5955,4.2016
3.0598,3.0888,3.2749,3.6896,3.8566,4.0374,4.1677,4.5619
1.8219,2.0221,2.1507,2.5151,2.6945,2.8580,2.8970,3.2853
1.8918,2.0168,2.0602,2.3761,2.5395,2.6981,2.7190,3.0649
2.9769,2.9082,2.9307,3.0626,3.2286,3.4926,3.5614,4.1402
2.1700,2.1800,2.2307,2.4454,2.7960,3.1521,3.3443,4.1114
2.8399,2.8311,2.8711,2.9869,3.2038,3.4513,3.5601,4.1392
1.8425,1.9450,2.0218,2.3267,2.4888,2.6891,2.7132,3.0762
2.8416,2.8544,2.9007,3.1446,3.2875,3.4560,3.5649,4.2002
3.1560,3.2400,3.3990,3.7300,3.8703,3.9774,4.1559,4.4880
2.1034,2.2187,2.3470,2.5474,2.9393,3.1150,3.3353,4.0943
1.7525,1.8200,1.9650,2.4200,2.6500,2.9000,3.1689,3.7600
3.1674,3.1965,3.3590,3.7030,3.8740,4.0355,4.1589,4.5807
1.7450,1.9100,2.0300,2.4800,2.7250,2.9000,3.1200,3.7500
3.2852,3.3349,3.4830,3.9291,4.1468,4.3059,4.4725,4.9161
2.9611,2.8797,2.9412,3.0487,3.1741,3.4219,3.5254,4.1060
1.6542,1.6976,1.8279,2.2411,2.4295,2.6231,2.6403,3.0130
2.1008,2.1691,2.2400,2.5568,2.7342,2.8735,2.9175,3.3025
1.9541,2.0221,2.1464,2.4501,2.6130,2.7452,2.7788,3.1355
2.7941,2.8484,2.8937,3.1562,3.3003,3.4700,3.5814,4.2039
1.5514,1.7657,1.7421,2.2265,2.4254,2.6202,2.6435,2.9927
3.3383,3.4957,3.5902,3.9503,4.2200,4.2886,4.4565,4.9100
