3M,6M,1Y,2Y,5Y,10Y,15Y,20Y,30Y
0.23,0.26,0.26,0.29,0.32,1.32,1.93,2.1,2.43
0.25,0.26,0.26,0.2,0.37,1.52,2.16,2.37,2.77
0.23,0.26,0.26,0.29,0.33,1.33,1.93,2.09,2.43
0.22,0.26,0.27,0.26,0.39,1.34,1.93,2.1,2.39
0.23,0.26,0.26,0.3,0.36,1.35,1.97,2.12,2.46
0.24,0.26,0.27,0.27,0.4,1.32,1.92,2.09,2.43
0.26,0.29,0.28,0.22,0.87,2.44,2.91,3.04,3.12
0.24,0.26,0.26,0.21,0.83,1.79,2.37,2.53,2.87
0.23,0.26,0.26,0.27,0.35,1.32,1.94,2.1,2.44
0.25,0.27,0.27,0.27,0.4,1.33,1.92,2.09,2.42
0.26,0.27,0.28,0.27,0.47,1.6,2.26,2.46,2.84
0.24,0.26,0.26,0.18,0.49,1.42,1.96,2.16,2.57
0.26,0.27,0.27,0.21,0.36,1.49,2.13,2.35,2.73
0.24,0.25,0.25,0.21,0.49,1.47,2.02,2.22,2.63
0.26,0.27,0.27,0.2,0.36,1.56,2.22,2.44,2.8
0.25,0.26,0.26,0.2,0.37,1.52,2.16,2.37,2.77
0.27,0.29,0.29,0.29,0.4,1.34,1.94,2.1,2.4
0.25,0.28,0.28,0.26,1.12,2.68,3.15,3.46,3.59
0.26,0.28,0.28,0.22,0.96,2.48,3.04,3.18,3.3
0.24,0.25,0.26,0.27,0.33,1.34,1.99,2.15,2.54
0.24,0.26,0.26,0.19,0.48,1.42,1.95,2.14,2.57
0.25,0.27,0.27,0.29,0.33,1.39,2.03,2.2,2.58
0.25,0.26,0.25,0.23,0.41,1.41,1.73,2.11,2.45
0.25,0.26,0.27,0.19,0.35,1.56,2.23,2.44,2.8
0.23,0.25,0.24,0.19,0.42,1.41,1.7,2.04,2.37
0.25,0.27,0.26,0.36,1.19,2.35,2.86,2.97,3.15
0.24,0.26,0.26,0.15,0.36,1.51,2.15,2.36,2.74
0.25,0.26,0.25,0.21,0.4,1.38,1.92,2.09,2.43
0.25,0.28,0.26,0.24,0.92,1.94,2.53,2.67,3.0
0.29,0.29,0.28,0.28,0.44,1.52,2.07,2.24,2.55
0.26,0.28,0.28,0.22,0.86,2.49,2.99,3.15,3.26
0.25,0.28,0.28,0.24,1.04,2.65,3.13,3.25,3.35
0.24,0.25,0.25,0.22,0.41,1.4,1.73,2.1,2.43
0.24,0.26,0.26,0.29,0.89,1.81,2.4,2.56,2.89
0.26,0.28,0.28,0.22,0.96,2.48,3.04,3.18,3.3
0.25,0.28,0.28,0.25,1.08,2.7,3.17,3.43,3.51
0.25,0.27,0.27,0.27,0.4,1.35,1.94,2.11,2.44
0.25,0.28,0.28,0.25,1.03,2.68,3.14,3.27,3.38
0.26,0.27,0.27,0.29,0.46,1.54,2.25,2.41,2.81
0.26,0.26,0.25,0.16,0.37,1.36,1.63,1.97,2.35
0.25,0.26,0.25,0.21,0.41,1.4,1.72,2.1,2.43
0.24,0.26,0.26,0.16,0.48,1.38,1.94,2.14,2.56
0.29,0.3,0.28,0.27,0.45,1.55,2.11,2.28,2.59
0.22,0.22,0.23,0.18,0.43,1.4,1.67,2.0,2.33
0.25,0.27,0.27,0.19,0.35,1.58,2.26,2.47,2.81
0.24,0.28,0.26,0.33,0.8,1.71,2.33,2.54,2.92
0.24,0.26,0.26,0.15,0.36,1.51,2.15,2.36,2.74
0.26,0.26,0.25,0.24,0.42,1.43,2.0,2.16,2.48
0.25,0.26,0.25,0.17,0.38,1.36,1.61,1.96,2.31
0.25,0.27,0.27,0.27,0.4,1.33,1.92,2.09,2.42
0.25,0.28,0.26,0.28,1.1,2.17,2.74,2.86,3.06
0.25,0.26,0.25,0.22,0.41,1.39,1.94,2.11,2.44
0.25,0.29,0.29,0.23,1.02,2.59,3.09,3.21,3.33
0.25,0.26,0.27,0.23,0.54,1.54,2.19,2.4,2.77
0.23,0.26,0.27,0.27,0.4,1.36,1.95,2.11,2.44
0.25,0.27,0.27,0.27,0.4,1.33,1.92,2.09,2.42
0.24,0.25,0.26,0.17,0.49,1.4,1.97,2.16,2.56
0.23,0.26,0.26,0.29,0.33,1.33,1.93,2.09,2.43
0.24,0.25,0.26,0.16,0.48,1.38,1.94,2.14,2.55
0.26,0.29,0.28,0.19,0.91,2.48,2.94,3.06,3.12
0.25,0.26,0.26,0.2,0.37,1.52,2.16,2.37,2.77
0.26,0.29,0.28,0.22,0.88,2.45,2.95,3.08,3.17
0.25,0.27,0.27,0.29,0.33,1.39,2.03,2.2,2.58
0.22,0.22,0.23,0.18,0.42,1.39,1.66,2.0,2.33
0.25,0.28,0.29,0.24,1.08,2.69,3.17,3.3,3.4
0.25,0.28,0.27,0.33,1.06,1.83,2.42,2.59,2.94
0.29,0.3,0.29,0.26,0.41,1.45,2.01,2.18,2.5
0.29,0.3,0.3,0.32,0.42,1.47,2.03,2.2,2.51
0.26,0.26,0.27,0.19,0.35,1.55,2.22,2.44,2.79
0.25,0.29,0.29,0.23,1.02,2.59,3.09,3.21,3.33
0.24,0.26,0.27,0.3,0.36,1.34,1.96,2.12,2.46
0.24,0.28,0.28,0.26,1.13,2.74,3.2,3.5,3.61
0.26,0.27,0.27,0.27,0.47,1.61,2.3,2.49,2.85
0.25,0.27,0.27,0.29,0.33,1.4,2.04,2.21,2.58
0.26,0.27,0.28,0.27,0.48,1.61,2.26,2.46,2.84
0.26,0.28,0.28,0.22,0.89,2.36,2.9,3.05,3.19
0.24,0.26,0.27,0.27,0.4,1.32,1.92,2.09,2.43
0.24,0.28,0.28,0.26,0.92,2.43,2.9,3.26,3.31
0.26,0.29,0.28,0.21,1.1,2.43,2.78,2.9,2.97
0.25,0.26,0.27,0.19,0.35,1.56,2.23,2.44,2.8
0.25,0.26,0.25,0.21,0.39,1.33,1.9,2.07,2.41
0.26,0.27,0.27,0.19,0.36,1.56,2.22,2.44,2.8
0.26,0.29,0.28,0.2,1.08,2.47,2.88,3.01,3.07
