3 Mo,6 Mo,1 Yr,5 Yr,10 Yr,15 Yr,20 Yr,30 Yr
0.26,0.27,0.27,0.44,1.57,2.23,2.42,2.8
0.25,0.26,0.27,0.35,1.54,2.21,2.43,2.78
0.25,0.26,0.26,0.58,1.58,2.25,2.47,2.82
0.26,0.26,0.26,0.38,1.43,1.7,2.05,2.43
0.23,0.26,0.26,0.33,1.33,1.93,2.09,2.43
0.25,0.26,0.27,0.43,1.48,2.21,2.35,2.76
0.25,0.26,0.27,0.35,1.56,2.22,2.45,2.8
0.26,0.26,0.27,0.31,1.3,1.91,2.09,2.42
0.24,0.26,0.26,0.51,1.48,2.09,2.31,2.73
0.26,0.29,0.28,0.8,2.41,2.9,3.07,3.19
0.25,0.27,0.27,0.33,1.39,2.03,2.2,2.58
0.22,0.26,0.27,0.39,1.34,1.93,2.1,2.39
0.25,0.26,0.25,0.42,1.46,1.78,2.16,2.49
0.24,0.27,0.27,0.37,1.33,1.92,2.09,2.39
