z1,z2
0.69014966,1.7907856
0.9790809,0.9097461
1.6701926,0.33753377
0.98549163,1.1170404
0.19026144,0.5241094
-0.6648668,-0.17615965
0.2613319,0.6406395
1.1686366,2.198727
1.4412954,1.8225789
-0.1388742,-0.04579157
0.24817337,0.53400755
1.5704942,1.518434
0.9722117,0.4353159
0.79696864,1.6375206
-1.4174762,-1.815536
-0.98056513,-0.042410366
0.4021885,1.6545173
-0.101751775,1.0374596
-1.2350839,-1.8985608
1.721584,0.4211979
1.0219761,1.3516934
0.72488916,1.0797985
-0.20236877,-0.0035440102
1.1520634,1.358127
-1.2101862,0.062341418
-1.2107745,0.07226068
0.9169139,0.49730206
0.74519277,2.3377438
0.6071556,1.8518171
0.24408154,0.50511044
0.18376173,1.7809992
0.92000926,0.58064735
1.9891858,0.8791241
2.149572,0.84396803
-1.3905756,-1.8631369
-1.5098804,-1.8189199
0.91010076,0.6939597
-0.051160794,-0.17390221
-0.52502173,-0.90513545
-1.2914255,-1.906372
-1.4274187,-1.7993166
-0.23505038,0.042713832
-0.6680024,0.025773462
-1.5195845,-1.912501
-1.3057928,-0.001636833
1.875474,1.224878
0.51459825,0.48701382
-0.091206595,0.79372376
1.369206,0.31115562
0.07001487,0.6176486
1.3558278,0.8594106
0.49711344,1.5966772
-1.1244607,-1.7792627
-1.5267394,-0.2297825
0.4606912,1.0656503
-1.4053721,-1.8037081
0.30098107,1.3256385
-1.062347,-1.8252228
1.0420891,2.0247252
0.50771797,1.0478163
-0.038515337,-0.07442393
0.71693045,1.6420956
-0.9191824,0.008093562
1.0945888,0.78418905
0.86448956,1.5740826
-1.0463395,0.03632511
2.1597424,0.8816051
-0.18996936,0.018079054
-1.2105441,0.017361123
0.1187337,2.7789476
1.5963904,0.7612345
0.7621074,1.7589629
2.0151699,0.7166012
0.820067,1.5919883
0.13386656,0.4875005
0.9775587,1.4716749
0.83391666,0.57796305
1.6104802,1.2278289
-0.7650631,0.043491337
0.92797375,2.3806772
2.2307148,0.82481045
-2.235172,-0.4077389
0.44968262,1.539482
1.5023077,0.9302092
-0.36170542,-0.11133887
0.9723718,2.3062086
0.18697135,0.30834934
0.41975692,2.4334233
1.6008705,1.4094477
-0.18097717,0.0020506866
1.6892643,1.3310385
-0.17507991,-0.056198567
-1.3115612,-0.32366693
0.3214451,-0.1710994
0.6620939,1.8727628
1.4264942,0.90827864
0.8523,0.5844354
-1.2835679,0.016454238
-3.0565042,-1.1016786
