t,1M,6M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
21,5.9756594,6.582066,6.6668005,6.5510435,6.4038825,6.2655277,6.110759,5.9163036,5.785083,5.6654882,5.5096383,5.379636,5.24687,5.097091,4.951835,4.789929,4.6355658,4.4805403,4.328305,4.184123,4.0530224,3.898975,3.7971137,3.679373,3.545111,3.4543962,3.3690016,3.298577,3.231093,3.1579256,3.108213,3.0726304,3.0334196,3.0489109,3.0595345,3.049389,3.0766082,3.0799594,3.1159813,3.1514723,3.1616464,3.2350488,3.2770324,3.361855,3.3779788,3.4334598,3.5007842,3.5459962,3.5944476,3.6684928,3.7254653
22,5.920588,6.5526743,6.651492,6.5388203,6.3994484,6.267279,6.117014,5.925395,5.798111,5.68364,5.529982,5.4044113,5.2735405,5.127324,4.9852543,4.825428,4.673202,4.520803,4.3699846,4.22745,4.0985265,3.9453804,3.8451846,3.7302756,3.5940123,3.5039835,3.417038,3.3447337,3.2801003,3.2074652,3.1561217,3.1227813,3.0793757,3.097219,3.1061888,3.0966225,3.120222,3.1225624,3.1568623,3.1918972,3.2025118,3.2746599,3.3149252,3.400433,3.4144025,3.4674714,3.5367177,3.5784507,3.624482,3.6993947,3.7552102
23,6.0577636,6.588318,6.6081376,6.5260262,6.3622994,6.221726,6.0619116,5.8711567,5.7431073,5.614229,5.461627,5.32588,5.19186,5.0411024,4.8925653,4.7275333,4.5747714,4.4185696,4.2600155,4.1138964,3.9894753,3.830073,3.7224762,3.5982726,3.4699454,3.3744264,3.2983563,3.2301302,3.1471763,3.0646045,3.0234208,2.977283,2.9522653,2.9473624,2.9629164,2.9484255,2.9802933,2.9811256,3.023752,3.0496712,3.053198,3.1271317,3.1675248,3.2495246,3.2735505,3.321839,3.3820531,3.435213,3.4860466,3.556567,3.6107202
24,6.002205,6.668034,6.749762,6.6402555,6.482298,6.351719,6.186165,5.9800425,5.8537693,5.7264557,5.5648365,5.433658,5.3003206,5.1421947,4.9934645,4.8251967,4.666132,4.5014644,4.340105,4.1867676,4.0500016,3.8883786,3.7805867,3.6551495,3.5138495,3.4115033,3.3216982,3.2461634,3.1718001,3.0983725,3.0453699,3.0097256,2.9734523,2.9889538,2.9945965,2.9816184,3.0178409,3.017588,3.0657272,3.091589,3.1058507,3.1869032,3.231147,3.323673,3.3384078,3.4004273,3.474011,3.5227964,3.5762331,3.6556082,3.7202075
25,6.027708,6.7153177,6.8004246,6.6832027,6.52095,6.387921,6.2183046,6.0056915,5.8764005,5.7471986,5.581499,5.4477406,5.312502,5.1503286,4.998728,4.827131,4.664025,4.4945464,4.3306203,4.173004,4.0312395,3.865995,3.7562466,3.6277013,3.4825788,3.3783498,3.2869058,3.2100773,3.1356883,3.0611928,3.0074935,2.9717798,2.9346213,2.953535,2.960369,2.9475598,2.987543,2.987805,3.0375237,3.0664186,3.0816483,3.1661987,3.2136705,3.3096008,3.3243885,3.3909469,3.467964,3.5191755,3.5739276,3.6564593,3.7251365
26,6.056028,6.6750355,6.7227964,6.6292543,6.46074,6.3292685,6.1587806,5.9539776,5.829918,5.6946282,5.534218,5.399911,5.2664456,5.106161,4.9555974,4.786123,4.6283283,4.462864,4.298293,4.1445417,4.0109105,3.8487048,3.7380548,3.609124,3.4731498,3.3668783,3.281012,3.2075157,3.1242266,3.0494087,2.9995337,2.9593365,2.9326982,2.9371655,2.9422188,2.9264016,2.9662416,2.96447,3.0185554,3.0353966,3.0481448,3.129276,3.171873,3.261877,3.2799592,3.339874,3.4081335,3.4606524,3.5174189,3.593321,3.6564505
27,5.9397974,6.6726894,6.8254614,6.666637,6.5191154,6.3816376,6.21307,6.008605,5.8754587,5.7586546,5.582679,5.452651,5.319518,5.1533523,5.0095406,4.841427,4.6800175,4.5131364,4.3592434,4.210612,4.059735,3.9032025,3.7934737,3.6757324,3.5337975,3.4342003,3.3450708,3.269084,3.214859,3.1521845,3.0900664,3.0737739,3.0271325,3.05518,3.06391,3.0605392,3.0894685,3.0976298,3.1368861,3.1794224,3.2083933,3.28261,3.3335073,3.4118052,3.424902,3.5027752,3.584868,3.6303723,3.6805315,3.7578952,3.8347576
28,5.762782,6.5987463,6.7707806,6.650133,6.5042744,6.3977885,6.2181187,6.036661,5.9355907,5.8276315,5.6398125,5.5218873,5.3993187,5.2235518,5.097588,4.927719,4.7785416,4.610308,4.450322,4.308596,4.1593337,3.999197,3.8701875,3.7575834,3.6200893,3.496957,3.4244208,3.338743,3.283249,3.2240164,3.1534266,3.1605053,3.122011,3.119426,3.1261022,3.1275325,3.1444826,3.1501362,3.2021122,3.2207987,3.271581,3.331411,3.378855,3.4258275,3.444625,3.5259519,3.6171124,3.661808,3.707497,3.7749712,3.8687575
29,5.6726947,6.4945617,6.6973114,6.5682616,6.437164,6.32375,6.1620646,5.986681,5.8971896,5.7947044,5.612755,5.494219,5.37726,5.2058067,5.0895233,4.9344616,4.790496,4.6339083,4.4882674,4.3620434,4.2121744,4.068103,3.9422126,3.8434117,3.7085218,3.5986102,3.533072,3.4405494,3.402348,3.357846,3.2761664,3.3019762,3.2496014,3.2433238,3.2439327,3.2639368,3.2615292,3.2775543,3.3161795,3.340276,3.3902965,3.444025,3.488069,3.5078716,3.5297494,3.6102145,3.6878896,3.7291183,3.7797542,3.834419,3.917353
30,5.722609,6.42884,6.608388,6.4786606,6.3553767,6.2414427,6.0836344,5.918331,5.811261,5.708458,5.53999,5.4283214,5.309461,5.153099,5.0323906,4.8796687,4.7416286,4.595302,4.453884,4.3303447,4.196894,4.0602055,3.9511442,3.8532724,3.7320507,3.6305008,3.5539777,3.479999,3.4334068,3.386084,3.3174996,3.3211117,3.2789898,3.2846453,3.2836962,3.284903,3.2895284,3.297124,3.333765,3.3542118,3.396638,3.4459312,3.482083,3.525445,3.538189,3.605109,3.6777773,3.7090583,3.7520964,3.8087351,3.8791018
