t,z1,z2,z3
260,3.6625805,-2.702059,0.5640194
261,3.3556867,-2.4254136,0.38505358
262,3.489235,-2.54739,0.4150214
263,3.1286445,-2.2865698,0.28428033
264,3.120901,-2.3070714,0.3272928
265,3.0134234,-2.279225,0.30395615
266,3.1658025,-2.4429574,0.2900631
267,2.896565,-2.2135775,0.17673333
268,2.9324284,-2.2248895,0.27708298
269,3.3355236,-2.5118337,0.41614535
270,3.6551814,-2.6959417,0.4646421
271,3.714396,-2.696519,0.7084736
272,3.3289304,-2.4174678,0.6722765
273,3.1091695,-2.267496,0.63950086
274,3.2410855,-2.5148551,0.803762
275,3.2708387,-2.5563912,0.7656522
276,3.3157258,-2.5666661,0.7662099
277,3.1513395,-2.4260771,0.84023166
278,3.2774062,-2.5453293,0.8175948
279,3.591442,-2.7561717,0.96166784
280,3.1755638,-2.4990647,0.73719597
281,3.2084484,-2.560887,0.8745648
282,3.0157042,-2.4224854,0.8450543
283,2.9010196,-2.3853543,0.82624346
284,2.7035503,-2.3068113,0.5615163
285,2.811222,-1.8416561,0.60414
286,2.7642407,-1.8158864,0.61664015
287,2.6519942,-1.7480754,0.641844
288,2.514802,-1.6688229,0.5855907
289,2.4322696,-1.5653406,0.51318467
290,2.0907955,-1.3412404,0.41695467
291,2.0398688,-1.4233321,0.43623194
292,2.1208925,-1.4658965,0.41112038
293,2.657199,-1.8826395,0.6132771
294,3.0753574,-2.2085478,0.66588974
295,3.3394246,-2.525498,0.8911714
296,3.3370557,-2.519449,0.9049721
297,3.2631035,-2.4183185,0.8403227
298,3.1792178,-2.3216672,0.8708824
299,2.7850618,-1.8919685,0.91754335
300,2.2306833,-1.4808702,0.96452606
301,1.8450207,-1.0993953,0.94829166
302,1.8114913,-1.0746542,0.951292
303,2.0660682,-1.2224945,0.9470531
304,2.2729511,-1.3729057,1.2104781
305,2.5150795,-1.578721,1.3703048
306,3.0357509,-2.0996008,1.4780592
307,2.6907473,-1.7735779,1.5160921
308,2.6954756,-1.7422756,1.4411136
309,2.4250574,-1.5441529,1.4113216
310,2.296143,-1.4912549,1.5937624
311,2.0982962,-1.3579675,1.3604053
312,1.8684231,-1.1601827,1.2533972
313,1.969301,-1.322573,1.0311817
314,1.8213919,-1.0953493,1.0806407
315,1.124053,-0.6512769,0.89881843
316,0.708827,-0.3699355,0.94802094
317,0.37682265,-0.25238022,1.056032
318,0.2779272,-0.11629795,1.3798208
319,0.09480559,-0.025770672,1.1563118
320,0.15085843,-0.016147114,1.1445283
321,0.45597586,-0.23352414,1.1507256
322,0.4594161,-0.26436943,1.0207752
323,0.5284397,-0.294654,0.8520936
324,0.6253514,-0.409501,0.40983647
325,0.2605328,0.15897942,0.27680722
326,-0.1466862,0.43219376,0.53794134
327,-0.63696325,0.42621335,0.6798325
328,-0.93465877,0.49579304,0.8060908
329,-0.7069308,0.33459198,0.5213556
330,-0.6126766,0.3878638,0.7496514
331,-0.5800884,0.48338056,0.8481577
332,-0.69235605,0.47532877,0.7777722
333,-0.55843097,0.5359449,0.95112807
334,-0.84555835,0.57594335,0.9737715
335,-1.1467277,0.7483703,1.1592976
336,-0.94274503,0.62371063,0.95894057
337,-0.72581595,0.580598,0.8627709
338,-0.64935994,0.5560774,0.8593053
339,-0.47903755,0.23448148,0.62638724
340,-0.49115974,0.21273038,0.6343684
341,-0.25764868,0.15882885,0.50343424
342,-0.339688,0.20891392,0.5009698
343,-0.63453376,0.53367746,0.8661323
344,-0.95500433,0.70328563,1.037014
345,-0.8662157,0.6466464,0.8981986
346,-0.62512517,0.45133826,0.6717272
347,-0.46745554,0.34706253,0.38819844
348,-0.30733004,0.15950939,0.17027588
349,-0.34268123,0.22782204,0.21086343
350,-0.5327221,0.43000302,0.3649841
351,-0.98049164,0.6655011,0.6366574
352,-0.9900371,0.7460925,0.70234245
353,-1.3479297,1.1024661,1.2553325
354,-1.5011159,1.3835651,1.8596084
355,-1.6017815,1.4695127,2.0580485
356,-1.704674,1.4539818,2.0694933
357,-1.4158382,1.3979051,2.2301724
358,-1.5949305,1.4792448,2.4662585
359,-1.3538525,1.3960288,2.5677812
360,-1.1946708,1.2627572,2.230229
