t,a3,a2,a1,a0
313,-0.00021060221482476998,0.008688633179148616,-0.1373378094595069,5.093388278871593
314,-0.00021772269043490402,0.00920888468054399,-0.14581967091247003,5.141991630273795
315,-0.00011229391455057179,0.00458453358072203,-0.09073251772411209,5.074016454095707
316,-3.450919235414476e-06,-0.0006790239130310093,-0.01371561672495678,4.832808588063444
317,1.501417952271995e-06,-0.0014045768438869484,0.007542397552042079,4.723326038645516
318,-1.1095255092405649e-05,-0.00138844088756913,0.021692332694365827,4.602840369675053
319,3.6019576452858655e-05,-0.0032332386332932757,0.036791411344979146,4.628076584387588
320,1.2526026831716739e-06,-0.0016290496086584884,0.015182269101249049,4.697453141358565
321,-5.10059785441204e-06,-0.0009554032826509395,0.00040653523733617857,4.728188675348063
322,1.7719708740956197e-05,-0.001953167303406998,0.010566308549850047,4.718032265470678
323,-8.293279980918585e-06,-0.0005157023084856455,-0.0162330821501729,4.869929971737192
324,-2.3199036507168974e-05,0.0005660150120967184,-0.046711607864227477,5.101136257079561
325,-1.3636664475722168e-06,-0.00027618103958167834,-0.038605446708270465,5.118981184556408
326,-1.7741135151268613e-05,-8.709465014694552e-06,-0.03213452024218003,5.110642162767822
327,0.00013537846805839805,-0.006568732539532645,0.04648422075835284,4.934241976923904
328,0.0002227844001774415,-0.010349425594671904,0.09310434459378547,4.822773822191348
329,0.00017823049798733792,-0.008340484426954826,0.06457247879917327,4.903411630815124
330,0.0001553046695626859,-0.007526412001682932,0.061012456597574725,4.864462534019513
331,9.48754762803902e-05,-0.004901281398030903,0.029399819131689126,4.959855193156835
332,0.0001325463473991969,-0.006397199754865509,0.04301762514729256,4.962083099299437
333,6.320057287076195e-05,-0.0036022970392937774,0.01571659727368606,4.989165195782674
334,0.00012395944542299735,-0.006110308885277385,0.042461616459990616,4.971487000773233
335,0.00016260769658131788,-0.007795804478035095,0.06302193949776656,4.9586196801865645
336,0.00015790126194958003,-0.007514844108944397,0.05768082313665372,4.949081215297654
337,0.00010898849589560929,-0.00541512580528622,0.032629491466928236,4.992240950254219
338,8.27285582396494e-05,-0.004363029968302887,0.02223235286841242,4.99947073882627
339,0.00014761555816656841,-0.007182046173344525,0.055502211508726904,4.871024242925814
340,0.00015937586556793114,-0.00773327568924286,0.06350806181568268,4.837331922910035
341,6.910762003809774e-05,-0.0038131029183293345,0.014702592989173412,4.958996658283407
342,6.324108841390581e-05,-0.0034549700090721136,0.007767417600262898,5.017069586714464
343,0.0001065449295945462,-0.005446884755214319,0.03747132718078617,4.939071598969554
344,0.00014665012610330191,-0.007169267511529832,0.05765322963449602,4.933831475436068
345,0.0001338377101244748,-0.00650925481418308,0.04636257169037006,4.976014024267764
346,0.0001206542437196683,-0.005914081084147587,0.03824522041445123,4.966102720042592
347,8.207489386449165e-05,-0.004080281194293685,0.009207682470468503,5.074892510378112
348,6.694271362284118e-05,-0.0032818110837582954,-0.004407101242099467,5.10265511696091
349,0.00011149290293769821,-0.005225037085991015,0.01909351962268572,5.039599272083491
