1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
4.631065,4.6914434,4.7884583,4.7094545,4.5382504,4.5138335,4.5493217,4.6047893,4.6836123,4.9452877,4.8742447
1.6122279,1.7201163,2.0152085,2.1131668,2.1947114,2.351038,2.8929646,3.2801204,3.765897,4.3993235,4.358962
0.12819123,0.20234656,0.30288327,0.38534307,0.51937497,0.70220375,1.0664828,1.4037347,1.8205546,2.3688722,2.7153673
0.058076978,0.110828996,0.24340653,0.38509393,0.5377915,0.7516035,1.1730103,1.5546671,1.9679769,2.5556731,2.861631
1.480852,1.5869038,1.849594,1.9378635,2.0282652,2.1850147,2.714014,3.1014097,3.5797813,4.212718,4.2010403
0.15513575,0.18839169,0.28033662,0.3744688,0.52537847,0.6298971,0.9456711,1.3170915,1.6840223,2.226684,2.6192555
0.0942359,0.1538639,0.26826978,0.37975633,0.52195084,0.6829895,1.039544,1.4008399,1.7907076,2.3397343,2.6987817
1.9041908,2.016746,2.2873166,2.3767014,2.4623926,2.6174035,3.103457,3.4485452,3.883307,4.4662676,4.418897
0.41936326,0.54543793,0.75426227,0.87494123,1.0677572,1.2886858,1.8153659,2.2105613,2.7065673,3.3369923,3.467541
0.1080538,0.16030228,0.2633692,0.36502337,0.5188124,0.654132,0.9907466,1.352933,1.7344837,2.27701,2.651645
4.562548,4.6445055,4.7392244,4.6403,4.5060673,4.4680486,4.514929,4.5896926,4.683204,4.9532347,4.874484
4.6630564,4.7771626,4.8881273,4.760503,4.573929,4.5683556,4.595166,4.5889754,4.7171288,4.945525,4.8679276
1.6573123,1.7636243,2.01665,2.0765455,2.161333,2.3231287,2.8687751,3.247112,3.7490573,4.3941774,4.3439107
4.692357,4.7942357,4.907859,4.8026114,4.6136675,4.6056633,4.6265693,4.6291184,4.732622,4.958146,4.8818226
0.8632841,0.9527043,1.1816596,1.3213503,1.4709145,1.6723177,2.196588,2.6003435,3.0615594,3.6971734,3.7762718
0.20206809,0.29440153,0.46370316,0.5879973,0.7383162,0.9329103,1.3780969,1.765063,2.2049756,2.8011734,3.0555224
3.8496728,3.861061,3.99098,4.016369,3.8937187,3.9564605,4.1369123,4.30023,4.4445972,4.825715,4.7676554
1.7330285,1.8268604,2.0946598,2.1823971,2.2621486,2.4222646,2.9464684,3.3178978,3.789188,4.4161763,4.374749
0.24101567,0.35514283,0.5642637,0.7211479,0.9331841,1.174439,1.7030057,2.105881,2.5877907,3.2166245,3.370111
0.25827336,0.3266704,0.47723627,0.606017,0.766405,0.939636,1.3652047,1.7614491,2.1754434,2.7675843,3.0329435
3.8021731,3.8220031,3.9448204,3.9580257,3.8699355,3.9116673,4.097688,4.280302,4.4301205,4.820338,4.756973
