3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y
3.771485,3.8610344,3.8970928,3.8765101,3.8675601,3.8731196,3.8928087,3.9121368,3.9378452,3.964504,3.9902885,4.015678,4.0386376,4.0597825,4.080798,4.099148,4.1156483,4.131977,4.14607,4.158245,4.170622,4.1813073,4.192081,4.2000217,4.2083898,4.2168307,4.224512,4.231294,4.2379375,4.242878,4.248274,4.253796
0.88901496,0.83165336,1.0270934,1.574623,2.0839067,2.5101357,2.8617141,3.1686425,3.4190643,3.6364415,3.821119,3.9760013,4.1087737,4.2206874,4.311679,4.387845,4.4489913,4.497119,4.5341806,4.5635233,4.581489,4.592132,4.594144,4.595548,4.5897074,4.5759993,4.5617776,4.542407,4.522176,4.500325,4.47367,4.4515443
0.86453295,0.82462287,1.0104578,1.5579058,2.063763,2.4851346,2.8325799,3.135733,3.3918495,3.6104949,3.798618,3.9541285,4.090518,4.203062,4.2963877,4.3732777,4.436878,4.485641,4.523831,4.554129,4.5728726,4.584906,4.588716,4.590949,4.585869,4.5715733,4.5576844,4.5407996,4.5183625,4.497655,4.4730787,4.4469447
3.6884108,3.8150806,3.9989724,4.0794344,4.095545,4.1063995,4.118659,4.1388764,4.1506667,4.171887,4.1927633,4.2119775,4.2327924,4.253208,4.270186,4.2858496,4.2991467,4.3136578,4.325488,4.33847,4.3500357,4.359677,4.367401,4.378313,4.387686,4.392517,4.3999696,4.4055014,4.411977,4.417391,4.424328,4.4338174
3.487226,3.4368203,3.3438458,3.3094673,3.3694894,3.4745393,3.591514,3.7052186,3.818302,3.9203503,4.012225,4.093969,4.166635,4.2301736,4.2860746,4.335623,4.3798184,4.417604,4.4521313,4.4821877,4.5089264,4.5340667,4.5559855,4.57472,4.591757,4.608379,4.6220756,4.635722,4.6478243,4.6573677,4.668766,4.6748047
3.8543556,3.9064083,3.9257374,3.930509,3.9415386,3.9734669,4.019047,4.0720387,4.1283526,4.1816697,4.232458,4.279579,4.32269,4.3610225,4.395438,4.426791,4.455247,4.4798613,4.50285,4.523199,4.541356,4.5584693,4.5741305,4.5881186,4.600865,4.6132817,4.623897,4.63452,4.64362,4.6526637,4.6606197,4.666629
3.8039792,3.8679345,3.8993065,3.8680081,3.8687556,3.8896487,3.9240215,3.9665,4.007019,4.0488763,4.088622,4.1250834,4.160177,4.1917453,4.220743,4.2468605,4.2704415,4.2928834,4.312787,4.331932,4.3492494,4.3646107,4.379123,4.394079,4.407856,4.4186435,4.4310694,4.4416847,4.4521074,4.4629564,4.4717765,4.4842215
1.1649252,1.1068354,1.2481043,1.7472038,2.2104676,2.6026192,2.9260287,3.2084389,3.4405866,3.6384327,3.8073616,3.9510207,4.0720778,4.1734223,4.255081,4.325658,4.3826337,4.424773,4.459244,4.484624,4.4986577,4.5079584,4.508715,4.507284,4.4988585,4.487138,4.470971,4.4518323,4.4320292,4.410499,4.382244,4.35683
0.9279094,0.8979528,1.0670342,1.6003292,2.0897582,2.4964871,2.826906,3.1204727,3.3733273,3.5843577,3.7688777,3.918631,4.053652,4.161809,4.251806,4.326753,4.390835,4.4363155,4.474016,4.5040154,4.5203447,4.5324554,4.535646,4.538447,4.532566,4.516555,4.5015864,4.4863915,4.4613724,4.4427943,4.418234,4.387964
0.8483894,0.8157463,0.9673159,1.5241631,2.0349867,2.4556994,2.8046074,3.1010668,3.3490963,3.55709,3.7341797,3.8852339,4.0116525,4.115953,4.2017837,4.273729,4.3313255,4.374221,4.407925,4.430791,4.443284,4.449451,4.4487224,4.4423456,4.4299817,4.414766,4.3944182,4.3709254,4.345132,4.3182926,4.2837167,4.2520423
3.6663399,3.6763,3.7228298,3.7631931,3.8307714,3.9072254,3.9825478,4.0676436,4.155005,4.237993,4.3158164,4.3789434,4.442518,4.495913,4.5436554,4.584241,4.621997,4.6541805,4.6823945,4.710416,4.7331085,4.7540894,4.771093,4.790915,4.807234,4.815284,4.8287215,4.8412795,4.84967,4.860656,4.8731503,4.88248
1.1664387,1.1259351,1.2722139,1.7849318,2.2448528,2.6280198,2.942728,3.2127743,3.4362106,3.6251545,3.7864268,3.9243112,4.039197,4.1349807,4.2122602,4.278784,4.332131,4.371135,4.402768,4.4246125,4.436149,4.443102,4.4421196,4.437223,4.4260635,4.4131856,4.394456,4.3734274,4.3515506,4.3273335,4.2970786,4.268242
4.2782555,4.43492,4.646937,4.7445984,4.7223005,4.6818476,4.6522655,4.6497664,4.6598144,4.677615,4.700658,4.720977,4.7456107,4.7679367,4.789585,4.8089595,4.827738,4.844944,4.860226,4.876517,4.8901606,4.902325,4.913656,4.9278355,4.9400716,4.94712,4.958342,4.9683447,4.975578,4.9870834,4.995685,5.005561
3.7559984,3.8677545,4.013724,4.0712166,4.0808473,4.092814,4.1099467,4.1356983,4.152962,4.1781626,4.2023034,4.2258315,4.2489824,4.2718954,4.290819,4.308825,4.3239913,4.339772,4.3532825,4.3671436,4.3796096,4.390307,4.3992395,4.4105124,4.420414,4.42744,4.435443,4.441545,4.4492507,4.4553003,4.4618516,4.471271
1.0729632,1.0183811,1.284697,1.8377411,2.3171473,2.715742,3.0368872,3.3255231,3.5651925,3.7807534,3.966728,4.11622,4.2511024,4.366916,4.4613085,4.537567,4.6010823,4.6538177,4.692782,4.728834,4.7541175,4.7710824,4.777517,4.788451,4.791095,4.7777615,4.7707148,4.7591343,4.7429047,4.7266183,4.715783,4.698525
3.8348336,3.9307919,3.9758377,3.9489543,3.9285197,3.9237256,3.9345982,3.9473457,3.9643333,3.9843419,4.0037465,4.02477,4.0427685,4.0608797,4.078852,4.095158,4.109462,4.124329,4.137126,4.1482697,4.1599045,4.1697497,4.179855,4.187555,4.195803,4.204818,4.212769,4.219094,4.226831,4.23217,4.2370257,4.244172
3.7561827,3.8188586,3.9997454,4.1075997,4.1748753,4.225896,4.2726383,4.339353,4.399736,4.4665604,4.529472,4.5800242,4.6330266,4.6798067,4.720496,4.7551646,4.7859406,4.815204,4.8386455,4.8645864,4.8851366,4.901937,4.914999,4.935195,4.951352,4.9560657,4.9697723,4.9791565,4.9876966,4.999157,5.0095215,5.0259666
3.936377,3.9781227,3.9670057,3.9526868,3.9538157,3.981113,4.023998,4.074789,4.135209,4.190148,4.243602,4.292329,4.337656,4.376944,4.4130397,4.4456596,4.476272,4.5016713,4.526071,4.547396,4.5663857,4.5850716,4.602234,4.616847,4.6302166,4.6435437,4.654777,4.667256,4.6764774,4.686536,4.6961703,4.7005835
3.6265473,3.6268203,3.563323,3.5220966,3.557736,3.6290953,3.7172985,3.8052254,3.8927608,3.9726555,4.0453877,4.1120753,4.1713586,4.2234073,4.270296,4.3119197,4.348955,4.3819137,4.411785,4.4377537,4.461653,4.483364,4.503797,4.520881,4.537078,4.5530643,4.5668163,4.5797243,4.5916715,4.60229,4.6118536,4.6206822
3.947322,3.9678853,3.9462938,3.916231,3.9139817,3.9431138,3.990687,4.0459423,4.1080394,4.1658416,4.2209144,4.2723813,4.319263,4.3604345,4.397786,4.4321027,4.463419,4.490102,4.515539,4.5376296,4.557247,4.576192,4.593608,4.6085353,4.6222253,4.6362796,4.6479797,4.659766,4.6703,4.6804857,4.6889753,4.696301
