3M,6M,1Y,2Y,5Y,10Y,15Y,20Y,30Y
0.24927688,0.26381448,0.2652666,0.24424425,0.42298007,1.4123813,2.0245292,2.2186015,2.5872025
0.2580003,0.28535303,0.2770328,0.2507864,0.9872206,2.392395,2.8973327,3.0234382,3.1540885
0.24254395,0.2565779,0.25892043,0.22604616,0.41731524,1.4027429,1.9718684,2.1761186,2.5473535
0.24529482,0.260362,0.26192284,0.2339275,0.4521221,1.4688852,2.0548089,2.2431817,2.6023397
0.24383874,0.25830388,0.26032883,0.23006156,0.41838992,1.3982131,1.9800022,2.182703,2.5521052
0.24823576,0.2629008,0.26418376,0.24100651,0.42827332,1.4181073,2.0205626,2.216555,2.5814412
0.24286944,0.25648978,0.25787133,0.22318095,0.418587,1.395339,1.9393247,2.1527352,2.5168078
0.25250927,0.28372988,0.2797069,0.24759685,1.057676,2.567768,3.0482588,3.2277293,3.3364773
0.25534508,0.28227887,0.27557722,0.24900001,0.96051604,2.3434875,2.857428,3.0139022,3.1542754
0.24650572,0.2604229,0.26168677,0.23399249,0.42452756,1.415152,1.9882693,2.1901505,2.5542388
0.2640995,0.28932458,0.28029042,0.25821993,0.9323331,2.3222322,2.8134325,2.9533563,3.0954416
0.23739024,0.2506246,0.25291252,0.20861688,0.406843,1.3803251,1.8938797,2.1199176,2.4880579
0.24882697,0.28275684,0.28301314,0.24707955,1.0861533,2.6936517,3.1539915,3.3519816,3.4604893
0.24322249,0.25682664,0.2587047,0.2247316,0.41552985,1.40323,1.955853,2.1678395,2.5352476
0.24134582,0.25526512,0.25742772,0.22180608,0.4143393,1.3926485,1.9468578,2.1595726,2.5288682
0.253654,0.28049916,0.27482542,0.24838851,0.9100139,2.2657738,2.80177,2.946221,3.1105273
0.27799675,0.29140514,0.28403646,0.2880653,0.44860962,1.4965264,2.1030104,2.2581666,2.5792043
0.2533772,0.28295004,0.27794105,0.24729404,1.0224048,2.4817994,2.970193,3.1452641,3.2659316
0.24887162,0.26304284,0.26506007,0.24304192,0.43400964,1.4491961,2.0509796,2.2454736,2.6124957
0.25569603,0.2840063,0.27692127,0.24900144,1.0122135,2.4341586,2.934936,3.09324,3.2135346
0.23821051,0.25090134,0.25277117,0.20828636,0.41153347,1.3937664,1.8919848,2.1162221,2.4805186
0.23459865,0.24597408,0.24768159,0.1932374,0.4043297,1.3804271,1.8147675,2.0687006,2.4268494
0.24898277,0.26353,0.2653251,0.24331008,0.43371516,1.4294044,2.0317602,2.2393482,2.6036055
0.23214982,0.24176088,0.24302824,0.18034044,0.40945053,1.3925502,1.7569145,2.025099,2.377307
0.2648975,0.27893174,0.27562514,0.26927108,0.42877483,1.4394197,2.059355,2.2322078,2.5789533
0.23692925,0.2464959,0.24628615,0.18911311,0.41163152,1.400151,1.7717173,2.0306659,2.3754404
0.25245652,0.2671781,0.26780996,0.25012854,0.43092158,1.4318861,2.0504382,2.2384975,2.6018238
0.24858367,0.262527,0.26359856,0.23858629,0.4219014,1.4132134,1.9951147,2.1977153,2.561203
0.2743918,0.2868314,0.28024837,0.28047812,0.41725463,1.4320452,2.0253925,2.1919043,2.5241408
0.2542705,0.26861024,0.26866394,0.25194693,0.428775,1.4302927,2.0406432,2.2321308,2.5912406
0.24640508,0.26076785,0.2629755,0.23683926,0.43620017,1.4419739,2.0292177,2.2362657,2.60167
0.2610687,0.27642068,0.27370748,0.26272288,0.47884572,1.5222815,2.132472,2.3074229,2.6388266
0.2513577,0.28288567,0.2814285,0.24509116,1.0765136,2.6555853,3.0982733,3.305697,3.4110608
0.25508085,0.28208032,0.27564877,0.24813691,0.9546236,2.3367562,2.84994,3.005437,3.151167
0.25625277,0.28305104,0.27607483,0.24887985,0.98114645,2.3822606,2.8819468,3.042967,3.174682
0.2402526,0.25392485,0.2558975,0.21734738,0.4137354,1.3895563,1.9264659,2.1437607,2.510642
0.2399082,0.2527171,0.25436768,0.21323012,0.41581276,1.391815,1.8987492,2.1256394,2.4884644
