3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.7565086,1.8792733,1.9520575,2.272997,2.5168161,2.7058084,2.8421707,3.3417397
1.7050333,1.8294263,1.9075086,2.2434492,2.5010686,2.6917658,2.8433323,3.3590512
3.120555,3.140652,3.251336,3.5345912,3.717889,3.8835886,4.0143228,4.5001416
2.8805377,2.8942854,2.9765275,3.1918745,3.3759415,3.5795183,3.7066028,4.290523
1.9646714,2.0915587,2.137464,2.4039133,2.574413,2.72299,2.7676625,3.1928587
2.0517538,2.1489315,2.22784,2.5175438,2.735225,2.9122581,3.020334,3.5731626
3.31034,3.4437323,3.6178057,4.048525,4.2994576,4.3619637,4.528527,4.828793
1.6248828,1.744575,1.8336118,2.1834273,2.467023,2.6704454,2.8633091,3.4141214
2.818423,2.831397,2.9124405,3.124891,3.2980564,3.4971302,3.611209,4.193265
1.8191428,1.9474293,2.0171506,2.3373182,2.5623894,2.7329607,2.836217,3.3213997
1.7935921,1.9157437,1.9853814,2.2973216,2.5297701,2.7109952,2.8371606,3.328581
1.9047643,2.0292256,2.0986688,2.4056582,2.6194096,2.784609,2.874265,3.3655992
1.7987635,1.9255588,2.002367,2.333914,2.5702903,2.7439547,2.8575964,3.3607833
3.149519,3.1986532,3.3280401,3.653511,3.8539712,3.9959364,4.1392713,4.5805397
2.044797,2.14811,2.2068918,2.4715118,2.6638837,2.8337858,2.906298,3.4076025
3.18544,3.235159,3.3667436,3.6893065,3.8917022,4.0299664,4.1765714,4.628025
2.0832343,2.176754,2.2396224,2.5007749,2.703118,2.8818593,2.9691477,3.500723
3.1686087,3.2049813,3.3276477,3.6339893,3.8299713,3.9826093,4.1265335,4.592295
3.0703056,3.1014671,3.2083688,3.4731355,3.6494868,3.8071854,3.9322848,4.43544
1.6079496,1.7311466,1.8198618,2.1684577,2.4500191,2.6549723,2.8475063,3.38683
1.7774183,1.9054625,1.9761658,2.2991965,2.531831,2.7105706,2.8244517,3.3108196
2.7467349,2.7614734,2.835132,3.0373132,3.2159705,3.4228601,3.537269,4.1383905
2.5779622,2.6078973,2.6720347,2.8616717,3.0390918,3.2454896,3.3491764,3.9554274
2.33285,2.3828368,2.449969,2.6775713,2.886089,3.0957823,3.2057524,3.8194659
1.6791928,1.8077135,1.883018,2.2157454,2.4698849,2.6617079,2.8125062,3.3167212
2.1088285,2.1945667,2.264796,2.5346947,2.753334,2.9404788,3.0487823,3.6195676
3.1770446,3.2313375,3.3592079,3.67925,3.8802602,4.014968,4.1560345,4.597135
1.0632461,1.1447792,1.2521333,1.6274552,2.0429463,2.341852,2.7757063,3.4394462
1.4635351,1.5725522,1.6658893,2.0229135,2.332085,2.5453115,2.7928567,3.3652067
1.904927,2.0318482,2.0893555,2.3815994,2.572348,2.7203095,2.7808347,3.2384205
2.8761497,2.8878055,2.9703093,3.1944115,3.3747983,3.5730376,3.6939552,4.2716613
2.7040093,2.728337,2.8012578,3.0054843,3.1858845,3.3908029,3.5038455,4.092326
3.1552625,3.1895578,3.3105583,3.6113029,3.7980893,3.9455945,4.0801888,4.551592
1.6097102,1.724982,1.8128068,2.153859,2.4419234,2.6556258,2.8628411,3.4160452
3.245557,3.3410504,3.4943995,3.8850503,4.1184516,4.2169523,4.3759375,4.736183
3.058249,3.080625,3.1892393,3.459294,3.6437047,3.815237,3.9480734,4.459738
2.5485387,2.5889478,2.643194,2.8179526,2.9792407,3.1763246,3.264474,3.8401937
2.1236649,2.2099571,2.2802007,2.5534823,2.7722635,2.9606256,3.0680816,3.6300502
1.6895323,1.8129311,1.8919544,2.2247963,2.484729,2.6790273,2.840112,3.3621266
2.390587,2.4335055,2.500293,2.7148702,2.9164598,3.123046,3.236599,3.8662574
3.2205768,3.2971911,3.4372063,3.7953112,4.013748,4.1275263,4.2801666,4.6766415
2.7877498,2.8032708,2.8771403,3.0755608,3.2457266,3.4468918,3.5554702,4.1409745
1.8422569,1.9680281,2.0354502,2.3424318,2.5597396,2.730785,2.829029,3.3105004
1.8584327,1.974115,2.0323482,2.313361,2.5266829,2.712973,2.8228583,3.2934833
2.832786,2.8498871,2.9350488,3.1595643,3.3410423,3.5389714,3.6598988,4.2305913
1.570395,1.6870761,1.7775564,2.1270776,2.4153464,2.6229682,2.830698,3.3838403
2.8516023,2.8661137,2.9450026,3.1526964,3.3183231,3.509335,3.6210768,4.185316
3.2010636,3.2763305,3.4202485,3.7853384,4.004073,4.1168427,4.26849,4.6653156
1.8094234,1.9388182,2.006584,2.3265195,2.5540075,2.7251897,2.8316352,3.3169737
1.6680628,1.7898376,1.8705227,2.2135472,2.4871314,2.6854618,2.8580866,3.3962646
1.6911781,1.8158759,1.8953571,2.237525,2.5040023,2.6977768,2.8571057,3.385312
3.253492,3.371325,3.5341887,3.9466252,4.1958804,4.2792797,4.446438,4.7811346
2.0930367,2.2000332,2.251193,2.5028887,2.6845934,2.8532345,2.9234104,3.3973916
