3 Mo,6 Mo,1 Yr,5 Yr,10 Yr,15 Yr,20 Yr,30 Yr
0.22344667,0.2587921,0.27222568,0.8082486,1.9257076,2.426703,2.5698667,2.7714858
0.24541086,0.2701633,0.2687747,0.5187992,1.6052523,2.059894,2.2709413,2.525587
0.24588661,0.27262527,0.26924154,0.51078176,1.6085675,2.0630698,2.2741709,2.5328798
0.22223207,0.25927848,0.27151257,0.84998876,2.0149288,2.4876885,2.6327589,2.8550873
0.22929776,0.2596376,0.27101985,0.812615,1.933574,2.4093566,2.5638661,2.7881951
0.23752922,0.26770025,0.26800412,0.5050866,1.5640533,2.0193734,2.2294858,2.481944
0.22989711,0.25593036,0.26758265,0.7941438,1.8842587,2.371647,2.534227,2.7348208
0.23670486,0.27720988,0.27248442,0.4865397,1.5642366,2.0475152,2.2328427,2.4892354
0.23622392,0.2670281,0.26836795,0.51791024,1.5811248,2.0335793,2.242677,2.4843946
0.23962495,0.27153075,0.270692,0.5163657,1.6015544,2.062759,2.2624595,2.5081944
0.23775065,0.2756856,0.27328488,0.50500107,1.5941136,2.0616732,2.2544277,2.5028472
0.2443242,0.27044278,0.26923674,0.52773994,1.6279256,2.0602937,2.2810442,2.5092216
0.24330202,0.27046737,0.26842,0.4999977,1.5721254,2.0278077,2.233661,2.5077128
0.23735017,0.2752941,0.2730325,0.5017003,1.5857191,2.0546174,2.2438092,2.496059
0.24493065,0.27191207,0.26909012,0.50787663,1.5937102,2.047966,2.2535465,2.5211496
0.24523681,0.272906,0.26920035,0.5078739,1.6049752,2.0619378,2.270155,2.5318007
0.24519031,0.2724877,0.26942855,0.50647855,1.5942719,2.0516157,2.2589989,2.5212164
0.24505036,0.27175385,0.26908514,0.5097032,1.5960555,2.0518563,2.258891,2.5223165
0.24592608,0.2713945,0.26935214,0.51360995,1.6036916,2.055378,2.2666707,2.5253243
0.23037623,0.2598847,0.27101856,0.84338653,2.0109124,2.4702282,2.6272275,2.8565917
0.24753726,0.2676097,0.26934344,0.5420375,1.6418226,2.0721855,2.2951863,2.5393295
0.24586701,0.2714785,0.26941934,0.5143405,1.6053593,2.054685,2.265272,2.5260339
0.24748129,0.27033842,0.26970422,0.53009224,1.629667,2.0738926,2.2893298,2.5394087
0.23702836,0.25449604,0.26647353,0.7182905,1.7769632,2.2514286,2.4375508,2.6293535
0.24321812,0.25340736,0.26416022,0.66286576,1.7389877,2.1738763,2.3937235,2.59134
0.24395669,0.27045405,0.2684617,0.5046724,1.5802777,2.0373845,2.2451086,2.5126739
0.23417129,0.25408906,0.2671703,0.74198145,1.7960904,2.2793036,2.4554205,2.648635
0.24382883,0.2701962,0.26930654,0.5340394,1.6312859,2.0702796,2.286633,2.513523
0.24066216,0.26486698,0.2673046,0.54389846,1.6268322,2.0635962,2.2847784,2.5111923
0.24151923,0.25883132,0.2678977,0.8787665,2.0992098,2.561407,2.7280674,2.9458451
0.24521726,0.2721115,0.26939192,0.5086326,1.5967615,2.0524316,2.2608895,2.5214763
0.22966579,0.26017046,0.27141875,0.7940667,1.8898959,2.376258,2.5287113,2.748745
0.22156878,0.2586015,0.2717558,0.8313189,1.9770031,2.449955,2.5994928,2.8133712
0.24569072,0.27081078,0.26929986,0.5195476,1.6097646,2.06391,2.2753873,2.528523
0.24499463,0.2709069,0.26878592,0.511659,1.5958662,2.049799,2.257031,2.5215511
0.24358563,0.26897234,0.2684515,0.52885383,1.624047,2.0719743,2.292833,2.5228715
0.23864561,0.27485257,0.27280453,0.5089117,1.5988655,2.0641017,2.2602477,2.5062513
0.2356135,0.25391644,0.2667781,0.732595,1.7863889,2.2656426,2.446605,2.6398182
