3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,20 Yr,30 Yr
3.4199336,3.5491493,3.67907,4.3041196,4.4069514,4.574747,5.035528,4.8988953
3.2719119,3.3817637,3.497784,4.1207175,4.2233143,4.403807,4.8743467,4.737919
4.340246,4.5902486,4.7923546,5.4484525,5.5317216,5.6366568,6.0466237,5.909171
4.0452747,4.2555704,4.4351254,5.0773764,5.1676598,5.2920346,5.7165117,5.5804243
0.19498523,0.28056738,0.26926932,0.6765078,0.8671844,1.0647416,1.5236832,1.7086046
0.07438123,0.17673178,0.13446587,0.56071997,0.75401413,0.9334588,1.3989279,1.570997
0.0860485,0.18582541,0.14715889,0.5689774,0.7639277,0.94158775,1.4092395,1.5771468
3.2926989,3.405316,3.523198,4.1463423,4.249237,4.427831,4.8969707,4.760762
2.9725626,3.0540774,3.143367,3.763959,3.8752384,4.0724454,4.5613914,4.428048
4.752599,5.056705,5.2928896,5.959118,6.0374103,6.113281,6.497573,6.3596153
3.2203224,3.3234437,3.4359577,4.0563264,4.1602106,4.3413363,4.8165827,4.6795435
0.22455929,0.30803645,0.2997998,0.70000225,0.8914958,1.097404,1.5532204,1.733136
2.788897,2.863982,2.9350774,3.5423918,3.662673,3.855829,4.3536816,4.231906
0.018150032,0.13340896,0.087444246,0.52317697,0.7084069,0.8967064,1.3489643,1.542619
4.4477406,4.710432,4.9199095,5.5807514,5.659559,5.7574334,6.163299,6.0249043
2.8296337,2.906019,2.9805472,3.5911803,3.7086263,3.9030154,4.3993273,4.2750635
0.009757236,0.12825087,0.07378775,0.5197378,0.7020187,0.8906876,1.3425398,1.5384995
0.18074407,0.27183557,0.25627637,0.6677809,0.8550559,1.05913,1.5158374,1.7054217
0.11723383,0.2118482,0.17765315,0.5864172,0.7869419,0.9676944,1.4391881,1.5960785
2.7013085,2.7722776,2.8358886,3.4354725,3.5600638,3.7531722,4.253695,4.1375914
0.23858391,0.319738,0.313735,0.71025014,0.90350187,1.1093695,1.5659091,1.7411792
0.16138704,0.25826088,0.23902366,0.6531272,0.8382238,1.0452285,1.5014312,1.6910768
5.4036827,5.79049,6.0715466,6.7591066,6.8188663,6.8562446,7.2047815,7.067912
3.2971303,3.4163501,3.5348032,4.1921525,4.2950463,4.474471,4.958743,4.8107214
4.8013115,5.112414,5.3466015,6.0283675,6.1022944,6.182797,6.5686617,6.4282084
0.01593262,0.13277887,0.08022444,0.52356446,0.70705324,0.89440876,1.3464632,1.5407916
4.4622927,4.7315826,4.9421167,5.6174874,5.7012534,5.8028393,6.208703,6.065976
4.496441,4.765272,4.978018,5.6412034,5.7185802,5.814152,6.21739,6.0785456
4.7740097,5.080678,5.3184977,5.9838243,6.0612884,6.135247,6.518074,6.3807163
