1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
0.02716589,0.065856576,0.1323216,0.2006619,0.3370813,0.516623,1.0337309,1.6068548,2.250985,2.9965177,3.3469355
0.15733993,0.2240398,0.38707495,0.5528381,0.79313517,0.97828424,1.3235258,1.6674374,1.8885193,2.2714634,2.7036016
5.088467,4.9766874,5.053705,4.9239473,4.590869,4.489635,4.439915,4.461233,4.558054,4.793649,4.704032
1.6012782,1.6758122,1.9204228,2.091834,2.29756,2.509303,2.9412727,3.268656,3.6666255,4.285312,4.2741337
0.40344107,0.4921801,0.6107359,0.80558884,1.1268146,1.3957553,1.8230484,2.1830406,2.4090776,2.8069582,3.0855618
3.1035833,3.0098825,3.03934,2.8189964,2.4321666,2.4536295,2.8878157,3.2395113,3.6720552,4.261634,4.261228
3.8733573,3.9182775,4.149868,4.0877895,3.887835,3.857843,3.9745507,4.136637,4.3359227,4.6773334,4.6493373
0.039735198,0.07582569,0.14040768,0.21048415,0.27600574,0.36346376,0.6524066,1.0755332,1.6315963,2.327013,2.7319548
1.8530668,2.0420403,2.3904061,2.6782367,3.0539947,3.32086,3.6726747,3.9274125,4.2715454,4.8268948,4.7735386
0.012035489,0.07389128,0.61235404,0.97441447,1.0711625,1.3884984,2.0919895,2.6349812,3.4213958,4.146605,3.9603586
0.04314196,0.0842669,0.12981975,0.19333649,0.29633307,0.43947732,0.8818867,1.4142247,2.051574,2.800312,3.1889744
3.6465425,3.2101192,3.3181672,3.2383044,2.9890766,3.0585222,3.358015,3.6276164,3.9502854,4.3832464,4.3516273
3.6860123,3.325754,3.4714985,3.4651513,3.3321157,3.4042153,3.6525424,3.8867302,4.1671195,4.590122,4.5489936
0.24329019,0.30818462,0.46814835,0.6169647,0.78809524,0.93606734,1.2152086,1.5048162,1.6994729,2.0427058,2.3798573
2.5713687,2.8794527,3.241889,3.2657194,3.2345319,3.3274355,3.6342869,3.884225,4.2272778,4.7149115,4.67951
0.121308446,0.43498576,1.0155514,1.2892671,1.5873481,1.9012334,2.801987,3.304059,3.9778986,4.6654854,4.324083
0.38511324,0.77882916,1.2688556,1.4436454,1.6240681,1.9131075,2.746272,3.225973,3.8563955,4.501988,4.224985
2.6296754,2.7760153,2.9195967,2.7102582,2.3825731,2.3875754,2.8480685,3.2106771,3.6552958,4.2903767,4.277265
3.9522238,4.0660515,4.2564335,4.2057333,4.131119,4.176629,4.319878,4.47327,4.661184,4.9567223,4.8853064
0.8655664,1.0739017,1.4139087,1.5734855,1.8621078,2.0619178,2.6801848,3.0688386,3.5998795,4.399509,4.4091077
0.024314761,0.076494694,0.15533173,0.23089182,0.28969026,0.37021685,0.6464946,1.0611837,1.6104202,2.2976341,2.695634
0.02644682,-0.012415409,0.25898063,0.6019206,0.94222635,1.245439,1.7691664,2.1821356,2.747528,3.4710274,3.1267781
1.9699831,1.7136419,1.7781321,1.754256,1.6395837,1.8152193,2.4899032,2.945166,3.5454836,4.3738146,4.3958206
0.2101773,0.2413125,0.35426342,0.47190428,0.59735227,0.7130033,0.92843664,1.1833721,1.3809929,1.7049172,2.1030304
