3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y
3.5076067,3.586239,3.5800967,3.6579962,3.7236125,3.831717,3.9218688,4.0377846,4.131915,4.218578,4.3018637,4.3868356,4.4510336,4.519636,4.5782886,4.6271477,4.660539,4.704916,4.7394214,4.768918,4.7980475,4.821366,4.849362,4.8711176,4.885069,4.8953805,4.9137483,4.920572,4.9385233,4.9489946,4.958475,4.9749765
3.931196,4.023352,4.1927915,4.264311,4.27263,4.2705803,4.2875967,4.2972283,4.311874,4.3267927,4.34557,4.3583913,4.3785343,4.3894134,4.4016075,4.4142113,4.4285064,4.438828,4.4488635,4.46211,4.470695,4.4794874,4.4868464,4.4945297,4.5026135,4.5117707,4.5173516,4.527193,4.5317125,4.5361915,4.546189,4.547695
3.7785475,3.8760142,3.8850176,3.9153714,3.895978,3.8868797,3.9021049,3.9195073,3.9450414,3.9674945,3.9879692,4.0238853,4.0368056,4.0702167,4.092687,4.118887,4.1337166,4.1494093,4.162194,4.169488,4.186315,4.195434,4.206467,4.215304,4.2283893,4.2308216,4.2365203,4.235836,4.2403617,4.2474017,4.245453,4.254972
0.6122992,0.5906987,0.8150568,1.4451823,2.0027337,2.4481692,2.822351,3.1291,3.3907185,3.609217,3.7971225,3.960248,4.0974054,4.209963,4.303549,4.3825073,4.4463305,4.4958096,4.5319695,4.5633607,4.5805473,4.5918727,4.599291,4.5962863,4.591394,4.577673,4.564055,4.545686,4.5248313,4.5006013,4.480517,4.4476647
0.4591415,0.42516804,0.6373787,1.2826848,1.8661267,2.3359694,2.7304628,3.0530627,3.3309731,3.5629272,3.7608836,3.9336126,4.0782404,4.1982236,4.297697,4.3812447,4.4472766,4.5007787,4.5392084,4.572723,4.590496,4.6028104,4.6105833,4.6075053,4.602285,4.587481,4.5734015,4.5527596,4.5309687,4.506061,4.485281,4.450814
3.8036473,3.8922935,4.0348396,4.0925407,4.0799227,4.0764055,4.0955925,4.099048,4.121171,4.141898,4.1629763,4.1824627,4.203055,4.2256045,4.240359,4.2576284,4.273657,4.287823,4.3050623,4.314073,4.3301945,4.3397436,4.3483496,4.3606553,4.369757,4.3786845,4.3862367,4.396701,4.3982296,4.41068,4.4149685,4.422312
4.132133,4.042092,3.7939749,3.5517063,3.5108197,3.5597916,3.6365113,3.7276592,3.8271506,3.9234755,4.0081196,4.085407,4.152997,4.217941,4.2751117,4.324411,4.3681755,4.408483,4.4466786,4.4757123,4.505232,4.532334,4.556149,4.5792665,4.5997663,4.62001,4.6379004,4.654167,4.669199,4.6858644,4.694823,4.7093005
3.8680308,3.9066188,3.969863,3.9973845,4.010537,4.042615,4.0773144,4.1206617,4.1621237,4.202312,4.242396,4.277924,4.312947,4.3420815,4.367609,4.390402,4.4155345,4.434856,4.4528327,4.4708705,4.4853806,4.498855,4.5117435,4.523652,4.532887,4.5428824,4.5530667,4.5619903,4.5699754,4.574755,4.584644,4.588751
3.7947469,3.8870924,3.9922512,4.0380654,4.0288444,4.0259075,4.0467534,4.056558,4.0814986,4.1035724,4.126795,4.150972,4.1720934,4.1971016,4.215098,4.235071,4.25096,4.266944,4.2835393,4.2944384,4.310039,4.320469,4.330882,4.3424726,4.352591,4.360937,4.368805,4.377265,4.380585,4.3918276,4.396582,4.403343
1.1120435,1.0999563,1.2926389,1.8048623,2.2693126,2.6396198,2.95994,3.222485,3.447909,3.6393528,3.8032181,3.9436753,4.063086,4.1604695,4.2425256,4.311869,4.3672824,4.409666,4.4412956,4.466218,4.4812746,4.4895515,4.493744,4.489549,4.484309,4.472329,4.457091,4.4412684,4.419208,4.39746,4.373583,4.342632
0.61332774,0.5825827,0.7776029,1.3928796,1.9430293,2.3897424,2.758294,3.068866,3.3324518,3.5540028,3.7430942,3.908215,4.045743,4.161099,4.2561693,4.334673,4.398107,4.4484324,4.48481,4.5150313,4.531602,4.5418386,4.5479226,4.5437346,4.5358663,4.5199156,4.5050006,4.4826927,4.459575,4.432507,4.408783,4.374754
0.771888,0.73731565,0.89931655,1.4640105,1.9796124,2.4034534,2.7522929,3.0517802,3.3062422,3.5221772,3.7050018,3.8646746,3.9972806,4.1101413,4.203048,4.2785573,4.339013,4.3879623,4.4232874,4.4507394,4.466297,4.4749346,4.4790316,4.4736924,4.463834,4.4470153,4.430576,4.40642,4.3812385,4.3532267,4.325653,4.2914743
