1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
4.868287,4.862598,4.8384957,4.8246493,4.82264,4.795971,4.7794857,4.770344,4.7650757,4.74729,4.759024,4.741235,4.6874757,4.676444,4.6644588,4.6773562,4.6656847,4.667398,4.675506,4.6572013,4.647675,4.6470075,4.6312294,4.6250925,4.607055,4.5949903,4.5819974,4.5715337,4.5599585,4.5431304,4.530449,4.5281434,4.5095305,4.493872,4.480565,4.472595,4.4569035,4.446586,4.432714,4.420284,4.4058323,4.391426,4.376608,4.3617277,4.3533835,4.334782,4.323347,4.311015,4.2981772,4.2844377,4.271207,4.2601247,4.2427406,4.23266,4.2231774,4.207306,4.1969604,4.1893687,4.1745367,4.164118
5.0479865,5.030653,4.9658794,4.9642954,4.946312,4.951097,4.901293,4.8760314,4.8965664,4.86644,4.841943,4.836185,4.759322,4.737426,4.7463694,4.725673,4.706109,4.763723,4.7409234,4.7453294,4.745186,4.751588,4.7368507,4.7588115,4.750407,4.747141,4.735817,4.7387037,4.7323284,4.7143707,4.710589,4.692907,4.691568,4.6901956,4.6732426,4.668995,4.6548924,4.647482,4.636435,4.62919,4.620285,4.6064224,4.5976515,4.5882545,4.574906,4.5598025,4.5433135,4.532802,4.5195327,4.5071244,4.4970016,4.4809585,4.473037,4.4539,4.440933,4.428921,4.4193172,4.4099293,4.389246,4.3778043
4.381854,4.329645,4.4096,4.3609467,4.312955,4.2795734,4.283,4.254573,4.234194,4.22821,4.220541,4.1960216,4.167797,4.1583586,4.140551,4.146382,4.179411,4.1557055,4.2053356,4.2037396,4.2246985,4.242627,4.23489,4.2353926,4.2336373,4.22757,4.238577,4.242819,4.2401547,4.2518377,4.252925,4.25998,4.255896,4.245549,4.2526617,4.2538834,4.247947,4.2510223,4.256845,4.2456203,4.245558,4.245359,4.2394032,4.227433,4.2236786,4.225246,4.220454,4.210065,4.2076845,4.2005672,4.188734,4.189933,4.1776495,4.1723647,4.1654415,4.156799,4.1520886,4.140861,4.1387944,4.129504
0.48863626,0.50520015,0.48463488,0.4847734,0.46607423,0.5060141,0.45522213,0.46503663,0.51116085,0.502157,0.5297127,0.55786467,0.69126725,0.91069436,1.1215372,1.3585684,1.5811739,1.8108804,2.0201173,2.21663,2.3981972,2.587757,2.7304816,2.8906355,3.0493531,3.1680257,3.2961817,3.4329627,3.5252235,3.6187928,3.723885,3.8042762,3.8758373,3.9537926,4.0159836,4.0749245,4.1282372,4.17749,4.2234554,4.262697,4.299006,4.3335557,4.357651,4.3856745,4.4110956,4.432914,4.444892,4.4617176,4.476973,4.484942,4.494599,4.504966,4.5136538,4.5169635,4.5215235,4.5223727,4.5331407,4.5324388,4.533615,4.529922
0.6776171,0.6993239,0.69581723,0.717427,0.7233119,0.7280512,0.7491636,0.7762122,0.79579806,0.84046984,0.8692272,0.93101525,1.2095182,1.4501326,1.7483902,1.9819082,2.2218595,2.4173713,2.6096334,2.785202,2.9196641,3.0794873,3.2009578,3.3349316,3.4471846,3.540358,3.6378586,3.7288961,3.8205626,3.8955026,3.9725468,4.039098,4.094887,4.1522436,4.194525,4.250702,4.2834134,4.3224683,4.3623643,4.388032,4.417109,4.4390063,4.4587536,4.4774694,4.498331,4.5059614,4.5208607,4.5289884,4.537551,4.5464554,4.552627,4.5554004,4.5561423,4.559108,4.5606675,4.5603857,4.5645857,4.556944,4.5605416,4.559043
0.8706243,0.7831509,0.78452516,0.73695827,0.7361069,0.7290201,0.67193794,0.6281147,0.6292567,0.68035126,0.61524534,0.6057291,0.64640594,0.72364664,0.89506197,1.0431657,1.1639712,1.3567667,1.5243483,1.6934266,1.9065149,2.020358,2.2289543,2.3435845,2.4801812,2.6337037,2.7458,2.8490653,2.990425,3.0863023,3.1709945,3.239296,3.3351078,3.4106557,3.4756062,3.543385,3.598176,3.6494117,3.6982348,3.7451816,3.787673,3.8224063,3.8623848,3.8951204,3.912689,3.9461737,3.9720802,3.990691,4.0083246,4.0314336,4.0443463,4.0645037,4.084153,4.0832934,4.101322,4.1173697,4.123104,4.139015,4.1428404,4.146889
4.334869,4.333246,4.3242693,4.3293767,4.330787,4.3653316,4.3777227,4.406198,4.4342604,4.4547806,4.456704,4.4705334,4.5717216,4.6620975,4.6985426,4.7755017,4.799052,4.823977,4.8277435,4.8551497,4.872771,4.873543,4.894244,4.888857,4.8970823,4.903849,4.9048753,4.9175572,4.909477,4.9163623,4.9140334,4.9143515,4.9222918,4.9137793,4.921311,4.909594,4.9206905,4.9155536,4.9082837,4.9052753,4.9009085,4.8956943,4.8893495,4.8810654,4.874649,4.867304,4.859673,4.845692,4.841682,4.8324633,4.8183155,4.809824,4.7960124,4.7849326,4.778326,4.7648563,4.750398,4.73747,4.7310123,4.7164426
0.4319191,0.45346403,0.47102213,0.46205282,0.47616243,0.49275112,0.5096054,0.5050709,0.56012034,0.60493493,0.6411872,0.6607621,1.0122144,1.3742092,1.7221701,2.0044675,2.2642813,2.4847608,2.7031374,2.8791225,3.064896,3.2199564,3.403795,3.5020945,3.6273494,3.7513988,3.8575888,3.9496784,4.0537586,4.113574,4.1854377,4.2607274,4.320368,4.384198,4.4345207,4.4733577,4.519777,4.556725,4.591045,4.622022,4.644111,4.667573,4.6880097,4.705385,4.718468,4.7336655,4.7465715,4.7503743,4.759437,4.761368,4.7666893,4.773036,4.7703576,4.77006,4.7765145,4.7750444,4.7662086,4.771898,4.7676463,4.765964
0.653836,0.6696727,0.7081878,0.7276354,0.73378515,0.7304113,0.7699876,0.78446937,0.8056321,0.87398076,0.89515996,0.96248174,1.3056653,1.5955834,1.9425046,2.1872642,2.4442182,2.629641,2.8398654,3.0005136,3.1430516,3.296843,3.4321642,3.5362923,3.651537,3.740304,3.837082,3.9106019,4.0099096,4.0707846,4.144889,4.205865,4.2560005,4.312416,4.3517613,4.401197,4.431063,4.466094,4.504095,4.5252304,4.550616,4.569067,4.58842,4.604415,4.618285,4.6265473,4.6402197,4.6448255,4.6497145,4.6568985,4.660557,4.662967,4.6611767,4.6620336,4.6622105,4.663053,4.6599965,4.6537404,4.657706,4.656775
3.9778886,3.9583845,3.865868,3.883387,3.8631284,3.8573797,3.7628424,3.763966,3.7686348,3.7335715,3.7711685,3.764077,3.7327359,3.736664,3.8513746,3.893301,3.9798386,4.0022497,4.060733,4.0957165,4.1375465,4.178581,4.1738787,4.225128,4.246866,4.261472,4.2784348,4.3081927,4.3187847,4.330172,4.343917,4.352246,4.354209,4.389195,4.4006395,4.4082084,4.4009132,4.4094825,4.4294763,4.4367566,4.4339595,4.439399,4.442626,4.449957,4.44581,4.4487615,4.438169,4.4437675,4.44035,4.423771,4.428604,4.4300966,4.421185,4.421174,4.404105,4.397947,4.4004188,4.3888607,4.3789225,4.371571
