3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.6440966,1.749451,1.8521907,2.275629,2.5910542,2.7785645,3.0433533,3.6486573
1.6492102,1.7647638,1.8710673,2.2854772,2.593382,2.7765722,3.0335202,3.625603
3.3534522,3.4199824,3.5875225,3.9940004,4.249364,4.3245454,4.5358315,4.912358
2.4336436,2.4792395,2.3781366,2.476059,2.583151,2.6780496,2.6392603,2.9269536
2.1674993,2.2803028,2.2285109,2.4058945,2.493128,2.6038487,2.5622053,2.7868023
1.5701098,1.791762,1.8748686,2.2578773,2.4363034,2.6021242,2.644982,3.0192041
1.9780726,2.0977447,2.1906483,2.4386392,2.634911,2.7954998,2.852949,3.3053172
1.9620653,2.0958416,2.1697357,2.4193015,2.5807288,2.7339041,2.7658415,3.1405945
2.0775278,2.1700904,2.267292,2.4864168,2.6924732,2.8533678,2.9212682,3.4034026
1.501815,1.5980005,1.6972595,2.1386983,2.489766,2.6807852,2.9438462,3.553188
1.499689,1.6071951,1.7106096,2.146264,2.4873903,2.6760352,2.9312904,3.5229113
2.4443133,2.4885595,2.3756106,2.47043,2.5687444,2.6598396,2.6111116,2.8809628
2.8820393,2.8619144,2.9359822,3.09993,3.2544823,3.472984,3.5878336,4.1852264
2.087798,2.1801531,2.272925,2.488252,2.6864681,2.8454351,2.9080753,3.37391
2.063103,2.1480186,2.3071368,2.5668733,2.9521573,3.1940506,3.3646798,4.1157665
2.8653564,2.8502448,2.929852,3.1085274,3.2665439,3.4841647,3.6015606,4.1914454
1.4550604,1.5464473,1.6398894,2.0895655,2.4545336,2.6470582,2.911849,3.527826
2.8349154,2.8250542,2.913499,3.1102223,3.273755,3.4908926,3.6117613,4.1932664
1.7029818,1.8978548,1.978462,2.3062265,2.474691,2.6342692,2.6622777,3.0306854
2.125712,2.1807356,2.2739706,2.53603,2.8403084,3.1027346,3.3114197,4.0894
2.0595438,2.15975,2.2510192,2.4744997,2.669424,2.828191,2.8874953,3.343753
2.132565,2.2397714,2.244298,2.4371912,2.5623507,2.6915264,2.687644,2.994389
2.2319467,2.318737,2.290508,2.4518847,2.5733423,2.6918712,2.6789622,2.9841168
2.1260452,2.214964,2.2895572,2.491425,2.6720755,2.8242638,2.8729675,3.3030646
2.851522,2.8137972,2.8770764,3.0042074,3.1571076,3.3842254,3.4917905,4.1267233
1.5441697,1.6435175,1.7463048,2.1819513,2.5207815,2.7115095,2.9734354,3.5794804
1.9972706,2.1195488,2.198541,2.4384885,2.6098757,2.7645972,2.8048873,3.2043972
2.5978906,2.6117241,2.6624353,2.738196,2.9575665,3.092237,3.156964,3.7776837
2.1089602,2.1739368,2.2539606,2.5076904,2.8255415,3.096953,3.3101733,4.0951424
1.484107,1.5855854,1.6867762,2.1271093,2.477475,2.6671674,2.9271848,3.527307
1.4589484,1.555697,1.6421691,2.0151153,2.425301,2.6331348,2.9714649,3.6381311
1.4990728,1.6063083,1.7093768,2.1447577,2.4863544,2.6747203,2.929383,3.5212295
3.3432508,3.408671,3.5810556,3.978843,4.2231927,4.3090754,4.5104046,4.881659
2.8504198,2.8309052,2.9060857,3.0761383,3.234127,3.4549067,3.5698924,4.1729684
2.116167,2.211216,2.2748735,2.478431,2.6479053,2.7964895,2.835226,3.239729
3.323073,3.3992186,3.5578508,3.9745307,4.179313,4.277212,4.4480305,4.7873864
1.9523507,2.0863903,2.1643488,2.4174862,2.5861025,2.741051,2.7778013,3.1674752
2.3565972,2.4115126,2.483892,2.7604115,2.993282,3.2458735,3.3714807,4.1754436
2.0565336,2.1370015,2.216278,2.4516044,2.7862606,3.0692673,3.2972026,4.0643444
1.4902061,1.5908206,1.6919422,2.131872,2.4817677,2.6715002,2.9318879,3.533493
1.7983898,1.8775721,1.9822466,2.3712785,2.686429,2.892465,3.1550682,3.8172772
1.7125527,1.9010274,1.9883615,2.3159423,2.4960623,2.6587884,2.697375,3.0938756
