1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
0.5666263,0.5733805,0.55912614,0.58793306,0.58216715,0.58781934,0.61700535,0.6256583,0.6472142,0.67291236,0.7048819,0.72651863,0.9081273,1.1223688,1.3443115,1.5574129,1.7665746,1.9765098,2.1664839,2.339572,2.5099204,2.6724913,2.8251595,2.9669278,3.1038814,3.2221427,3.3263993,3.4355407,3.5342462,3.619121,3.7045903,3.7844625,3.8468943,3.9093308,3.9653249,4.016654,4.061627,4.103018,4.1421776,4.176102,4.203986,4.2300954,4.252637,4.27573,4.2997518,4.3125243,4.328163,4.3419113,4.351729,4.3582993,4.368084,4.377901,4.3799925,4.3862424,4.386552,4.3894043,4.3883977,4.390507,4.388585,4.387801
4.059829,3.9891913,3.912734,3.8538628,3.7952409,3.7810936,3.724151,3.685939,3.699297,3.6451056,3.624727,3.6149325,3.6360319,3.686526,3.7933936,3.9308298,4.0356307,4.116774,4.2115145,4.289486,4.3692174,4.44379,4.48476,4.532469,4.5864043,4.6384687,4.677456,4.711141,4.753875,4.782652,4.8197937,4.8521776,4.879757,4.890899,4.924664,4.944153,4.9627767,4.981533,4.996087,5.0065455,5.0128474,5.0214634,5.0311823,5.0359397,5.040416,5.036177,5.0358844,5.0346293,5.027337,5.018487,5.014923,5.0006623,4.991542,4.982888,4.96756,4.9575653,4.9400644,4.926387,4.909242,4.8948064
4.8336473,4.8120584,4.772225,4.781795,4.749024,4.7340617,4.7354994,4.72482,4.719674,4.7095823,4.724758,4.7202253,4.728863,4.764514,4.806412,4.832798,4.856651,4.886792,4.920601,4.9275503,4.9442625,4.9571414,4.9419336,4.950851,4.9523644,4.9441314,4.937006,4.92504,4.9236994,4.915996,4.9107566,4.9081945,4.901251,4.889555,4.882335,4.873558,4.8590493,4.853432,4.843451,4.835306,4.8202257,4.8062944,4.796481,4.783617,4.7762966,4.7609506,4.7480774,4.7371616,4.7226005,4.7076283,4.695424,4.683839,4.664743,4.6520505,4.6351385,4.6229944,4.6058016,4.594801,4.5796776,4.562867
4.4971414,4.497635,4.555571,4.5769796,4.5657187,4.568069,4.5608506,4.5937257,4.582095,4.582783,4.6308002,4.603515,4.62819,4.666735,4.702101,4.7009425,4.678149,4.700091,4.686539,4.68192,4.6760325,4.6612263,4.6346235,4.631611,4.6228538,4.6076803,4.594688,4.5844564,4.5815744,4.5630326,4.547411,4.5408607,4.529927,4.522092,4.4994526,4.4946313,4.4783473,4.467785,4.4553337,4.447304,4.427266,4.4144297,4.4012933,4.383748,4.3688903,4.3561807,4.3365393,4.325099,4.308357,4.296732,4.2781262,4.26309,4.2419324,4.2322206,4.213058,4.20038,4.1829886,4.170864,4.156862,4.1417403
5.67776,5.6263614,5.53445,5.483796,5.396329,5.3410454,5.2896366,5.232954,5.1473336,5.0916567,5.0588374,5.0028725,4.767805,4.6485558,4.5870066,4.5733285,4.5557904,4.58361,4.593633,4.605631,4.6199675,4.646275,4.6446457,4.6540008,4.663232,4.66076,4.6591225,4.6619825,4.6642246,4.658742,4.662857,4.658349,4.6588306,4.654892,4.648157,4.6502705,4.6373405,4.632334,4.626223,4.623699,4.6136084,4.604357,4.59402,4.5854764,4.5783386,4.568002,4.557668,4.5481377,4.5402493,4.525431,4.5144186,4.5085597,4.4906693,4.478535,4.4646816,4.452974,4.4428563,4.4275427,4.417012,4.400478
4.52452,4.497673,4.46476,4.4329343,4.4249306,4.3627477,4.3560853,4.3514404,4.3037972,4.2907534,4.2729373,4.2166157,4.1580596,4.1590385,4.1779585,4.173953,4.1747437,4.189877,4.1886377,4.187422,4.211981,4.205589,4.217164,4.217877,4.2213745,4.2148867,4.212113,4.219805,4.215767,4.2203946,4.21995,4.225332,4.2272267,4.228183,4.2298374,4.2313957,4.238435,4.235446,4.2357945,4.234375,4.231477,4.2341657,4.2287655,4.2273903,4.2286043,4.224103,4.2268376,4.2175465,4.215095,4.213067,4.209221,4.207736,4.2021117,4.1976285,4.1922755,4.1879506,4.1868806,4.181694,4.1777472,4.172349
0.4861586,0.49715257,0.48524356,0.5139015,0.5148647,0.5087848,0.5386832,0.55085254,0.57370496,0.58507156,0.62587833,0.6448078,0.83884716,1.0693276,1.2944796,1.5128846,1.7120764,1.9287746,2.1183028,2.2845838,2.4561355,2.616249,2.7682014,2.9046597,3.0409846,3.165864,3.274511,3.3843417,3.4923456,3.5837035,3.6772628,3.766701,3.8393471,3.9117234,3.9744716,4.036032,4.0935698,4.1456857,4.1948586,4.239736,4.2737675,4.3095717,4.340941,4.373155,4.403765,4.422801,4.4441195,4.463092,4.4797034,4.4917626,4.506947,4.5187764,4.525233,4.5343,4.538282,4.542234,4.544513,4.5483923,4.549524,4.5486054
0.61731505,0.6259942,0.60086274,0.6264968,0.6200528,0.6264281,0.6534028,0.6704273,0.69586134,0.7267957,0.7716098,0.8003249,1.0590332,1.3333414,1.6016288,1.8540723,2.0835934,2.3114522,2.5106332,2.6864614,2.857779,3.0173488,3.1647797,3.2979503,3.4263473,3.5400505,3.6387358,3.739647,3.8282714,3.9067016,3.9844987,4.0566373,4.1134815,4.1698284,4.2187724,4.2649884,4.303897,4.3392186,4.3738036,4.4013586,4.42385,4.4457073,4.46453,4.482031,4.4996443,4.5087457,4.5205345,4.5290475,4.535049,4.539255,4.5439425,4.55014,4.5487294,4.5499034,4.548758,4.5487022,4.544558,4.5438023,4.5393724,4.53502
0.61426497,0.59608936,0.57820296,0.59026885,0.57150126,0.5598407,0.57716346,0.56295204,0.5718343,0.5789087,0.5844331,0.5887191,0.6517854,0.7855296,0.9536576,1.1189275,1.3021421,1.4887278,1.6661148,1.8302159,1.9981389,2.1576893,2.3118134,2.457035,2.5977802,2.7170444,2.8228512,2.9366066,3.0444064,3.1335392,3.226236,3.3136485,3.3811665,3.4498706,3.5149765,3.5722427,3.626365,3.6750598,3.7216702,3.7641091,3.799744,3.833448,3.8619308,3.8940187,3.9273875,3.9462762,3.9691944,3.9909964,4.007213,4.0187564,4.036656,4.0524454,4.0611534,4.075585,4.078936,4.0869803,4.092021,4.0995564,4.101957,4.1077003
4.2883215,4.295011,4.2719054,4.2957892,4.2956114,4.30399,4.324741,4.3454895,4.365059,4.378978,4.4084086,4.4151897,4.53802,4.642833,4.726598,4.782013,4.8231025,4.857659,4.8931456,4.9011397,4.921446,4.935561,4.92896,4.9318867,4.941567,4.938051,4.9328995,4.926449,4.9324293,4.9283514,4.9318833,4.9384007,4.9364023,4.9286437,4.9308386,4.9290276,4.923919,4.926179,4.922646,4.92112,4.911172,4.9068565,4.9015026,4.896356,4.894139,4.883534,4.8787336,4.869348,4.8610096,4.850037,4.843557,4.8340096,4.8201995,4.8112903,4.796488,4.787538,4.7746124,4.764475,4.7520776,4.738229
1.1733041,1.0226061,1.0718095,0.93850064,0.9000423,0.8770261,0.84330964,0.8163276,0.8184228,0.8652806,0.8456788,0.83183265,1.0877967,1.4760041,1.77773,2.0659766,2.367744,2.5651343,2.7251983,2.93524,3.0795984,3.1935039,3.3521621,3.4670641,3.6033902,3.681338,3.757734,3.8606281,3.9401772,4.0247645,4.098027,4.1674323,4.2141223,4.283626,4.3482733,4.3818088,4.436706,4.4854193,4.5268426,4.5709233,4.607371,4.633636,4.6500278,4.6841288,4.717522,4.736828,4.754855,4.76102,4.788408,4.783823,4.7982273,4.806685,4.8162956,4.821255,4.820264,4.8204985,4.8280525,4.821513,4.8291936,4.8294697
0.5248952,0.530169,0.49731135,0.527401,0.5151739,0.52796316,0.5506196,0.56994915,0.5967655,0.6310277,0.6832671,0.70769024,0.9898212,1.2789757,1.5735321,1.8576624,2.1202543,2.3794985,2.6043465,2.8106515,3.002596,3.1831648,3.3505282,3.5048783,3.6484473,3.7735348,3.8798468,3.9884372,4.079477,4.159783,4.2318225,4.30515,4.3581667,4.407082,4.448646,4.489124,4.517951,4.545434,4.56883,4.5873137,4.598868,4.6124396,4.62346,4.6293273,4.6387563,4.639099,4.643239,4.6432886,4.641747,4.639282,4.636685,4.636136,4.6275434,4.6229525,4.6168103,4.613595,4.601831,4.5962343,4.588063,4.5795054
3.8706932,3.8316169,3.7699313,3.750321,3.724428,3.6798654,3.6760592,3.6660352,3.647575,3.6434932,3.6303818,3.6228843,3.6581426,3.735808,3.8311186,3.890649,3.962831,4.0150733,4.0794663,4.1135197,4.16442,4.1981387,4.2205396,4.2548285,4.2765923,4.294364,4.3108068,4.3332677,4.3404584,4.3605566,4.3700867,4.3816514,4.3968415,4.403277,4.4179,4.4221435,4.427454,4.431387,4.436659,4.4374924,4.4407134,4.442005,4.442476,4.4391828,4.443236,4.4391418,4.44032,4.4355016,4.429246,4.426569,4.422669,4.4197164,4.411874,4.4056807,4.3997436,4.3951554,4.387709,4.3850646,4.3758435,4.3687863
