3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y
3.8323376,3.9065132,3.9662385,3.9803107,4.0010157,4.039291,4.0843725,4.138399,4.196576,4.2529383,4.30227,4.3471727,4.3886404,4.425586,4.460356,4.489265,4.513401,4.5389643,4.5572605,4.5758867,4.5913296,4.6095314,4.6201143,4.632383,4.6458406,4.651801,4.6618776,4.67121,4.678013,4.685776,4.690094,4.697616
3.7965336,3.9418204,4.0545626,4.0855474,4.0792274,4.071848,4.0960817,4.087844,4.1035614,4.1205797,4.1440673,4.162454,4.1813507,4.2012806,4.2161403,4.2342057,4.249712,4.2655535,4.2780766,4.290335,4.3013864,4.3114624,4.3213196,4.3325157,4.333295,4.3440633,4.3529563,4.357612,4.362317,4.3672805,4.3695626,4.378525
3.9942398,3.888583,3.711719,3.623922,3.6849902,3.7918723,3.8979008,4.0120816,4.1250143,4.226122,4.31578,4.3914943,4.4577804,4.522413,4.57625,4.6262717,4.664577,4.704897,4.734708,4.766847,4.790968,4.818797,4.8378325,4.8565674,4.8763785,4.8911834,4.9082775,4.917839,4.9337873,4.938919,4.9521036,4.965808
4.007251,4.095752,4.2199683,4.3037434,4.3030753,4.297776,4.2865763,4.2974806,4.3058496,4.3260055,4.3431273,4.35623,4.3714786,4.389192,4.4047923,4.4208026,4.433755,4.4478474,4.4585853,4.468062,4.475714,4.489911,4.494851,4.5019097,4.5114675,4.517391,4.5230923,4.530297,4.5343585,4.5414605,4.5433064,4.5460706
3.715757,3.8270621,3.9149647,3.9372241,3.9180143,3.9135604,3.9345155,3.9419582,3.960629,3.9811683,4.0083556,4.033156,4.050919,4.071879,4.091912,4.1085486,4.1279454,4.1393466,4.154608,4.1706576,4.185128,4.1937523,4.2041025,4.2139735,4.220023,4.232962,4.2453933,4.2443786,4.2591677,4.264484,4.268376,4.2762194
0.3734765,0.43229198,0.7613516,1.4626986,1.9907554,2.4216475,2.8143222,3.1209764,3.3842864,3.6068301,3.798055,3.9675174,4.1127715,4.2254105,4.322064,4.3993826,4.464685,4.5111017,4.5489697,4.5735335,4.597765,4.5943823,4.598905,4.5939465,4.5735865,4.5620494,4.544941,4.5220084,4.4935665,4.4587126,4.4317575,4.391732
0.6479521,0.58282375,0.7736528,1.459923,1.9930704,2.4259496,2.808248,3.1014662,3.346362,3.570213,3.7571483,3.9137583,4.0557275,4.170657,4.26771,4.345542,4.4176774,4.465614,4.506304,4.54226,4.5606923,4.5754976,4.591061,4.58563,4.590503,4.589977,4.578791,4.5543575,4.5440445,4.5239553,4.508282,4.478162
3.842284,3.9565325,4.0545144,4.095505,4.0947294,4.089034,4.1174717,4.1046,4.1180606,4.136249,4.1590724,4.178022,4.199657,4.220124,4.235849,4.2542896,4.271792,4.288025,4.30178,4.315692,4.3271475,4.3366385,4.348613,4.3604364,4.3611794,4.3725185,4.383546,4.3896527,4.3953414,4.4005175,4.404907,4.411653
3.8888128,3.7984204,3.6382856,3.5335047,3.517932,3.577422,3.6778097,3.7579873,3.8514845,3.9367404,4.0199513,4.101041,4.171514,4.2272263,4.2865615,4.3309846,4.380051,4.415149,4.4483438,4.478762,4.5095863,4.5285416,4.5556273,4.5732317,4.593101,4.6107936,4.6270013,4.637132,4.6540847,4.6675973,4.67484,4.686618
3.9368534,3.9492283,3.955848,3.9810839,4.0034995,4.040404,4.0782304,4.1269083,4.1696754,4.213839,4.2523336,4.2860627,4.3198495,4.350582,4.377239,4.4014754,4.423313,4.444069,4.460812,4.4772215,4.489044,4.5052085,4.513986,4.5246015,4.535454,4.5420823,4.550966,4.561398,4.566658,4.573366,4.578608,4.580544
