beta0,beta1,beta2,tau
3.1403837440314883,-2.715499286266371,-5.039206274277711,2.5884531328369107
2.889839699204803,-2.5161216775272885,-4.239747992353363,2.6823281842268325
3.062546939911057,-2.6457878600792744,-4.7878491625970945,2.5832894292643327
3.1209397529999947,-2.6891922316945185,-4.8786672147808385,2.4508441764531486
3.0695061531212824,-2.675087038017353,-4.6574235079162,2.5950029856152317
3.0993266213411643,-2.683171953980613,-4.822189073608393,2.5844911680986544
3.095913881278031,-2.687814973358855,-4.74016017641873,2.586232439730082
4.284637320341538,-3.8235853563236706,-6.101595405853312,1.837208129586589
3.1321266118964806,-2.6605255273064463,-4.9167140727532574,2.521373607047435
3.0739214996451745,-2.65811039735321,-4.751432455491998,2.5877612428934347
3.0764290594288513,-2.6299063899529935,-4.788328147235318,2.5056168673455943
3.6098355954715364,-3.231245258728449,-4.739968771273619,1.9281015306543074
3.5931450043139512,-3.236553223115229,-4.555550721773671,2.229504932386531
3.1441366436127347,-2.7310210231727057,-4.931119496761854,2.616065672503753
3.644477953183837,-3.277824826508971,-4.639023298926696,1.880462656173852
3.512725167993301,-3.120627706944449,-4.995301263448251,2.654008936373617
3.569104583219598,-3.123845730718889,-5.4918574082739315,2.5536983026352864
3.94785239044169,-3.5559114384505617,-5.067666366694015,1.4455044961720285
3.0751153737600134,-2.6835225905958557,-4.644635662633707,2.6222558433527676
4.145959229469964,-3.691307082353494,-5.940913006403148,1.9432170412477747
4.092539390428405,-3.608493143181994,-5.953543231851163,1.7883004375870781
3.113384035227844,-2.6945233764223024,-4.777408009921069,2.580666650880304
3.0912371108110563,-2.676570233545605,-4.8116248168714595,2.6139498597630517
3.2541647612942564,-2.89481821673663,-4.488683583661843,2.8222472606633886
3.0196583424507657,-2.6541644452876385,-4.38260173907817,2.7235007405176517
3.6311777555194564,-3.259238295089763,-4.671548694296936,1.9044986685471754
3.14383803278046,-2.666507551836553,-4.970713008805346,2.487569824385247
2.8912939285034294,-2.5196280116046927,-4.225051411250149,2.6984612635951035
3.315179219515768,-2.93890604480678,-4.662188008833604,2.7198394157241697
3.598611530119923,-3.1158437743454286,-5.924112933918764,2.499115146621222
3.1176691246970982,-2.7260824143149787,-4.6308306534769725,2.65926455412249
2.982192341173983,-2.6169803873588777,-4.347091093922968,2.661017265736166
4.0051077338650884,-3.478843263755161,-6.177848047429633,1.8053626608009707
3.177319519213738,-2.701529085135686,-4.9817853409693225,2.4475731365894418
3.244861200872137,-2.8862831036618406,-4.493777074229524,2.760891415826842
3.1218675648290914,-2.7129595340742774,-4.872249216120886,2.638703521062245
3.324415069262307,-2.8697309106397366,-5.385793613688092,2.576129508580155
