1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
5.145761,5.1267233,5.070734,4.9583797,4.623685,4.531522,4.498434,4.5013633,4.5804577,4.80401,4.706784
1.5338801,1.6187589,1.7542388,1.9463706,2.3204687,2.6510751,3.18283,3.4926958,3.9412313,4.639569,4.6116366
1.5244852,1.6750686,1.9152204,2.1666126,2.4570746,2.7119067,3.1813061,3.4850907,3.9119658,4.571211,4.540883
0.05603981,0.09507179,0.13321364,0.20783782,0.29987705,0.38020062,0.72034514,1.1611701,1.7453693,2.4920666,2.886898
0.2374835,0.28209603,0.38799012,0.4997977,0.6361252,0.75970733,1.057245,1.3459817,1.570792,1.9664421,2.4177077
0.03788674,0.08063853,0.13227344,0.20120895,0.33397996,0.51981914,1.0462313,1.5839856,2.2348645,3.00138,3.3423734
0.19090843,0.22889817,0.37541437,0.56755626,0.81528115,0.99034476,1.3282393,1.6416047,1.8770401,2.297031,2.691646
5.151979,5.1176844,5.0613403,4.948001,4.5960236,4.4970436,4.4678583,4.4728413,4.5554576,4.7823544,4.687628
1.6056461,1.7232194,1.9122845,2.0980957,2.2950687,2.50523,2.9523687,3.2636528,3.6655574,4.2941685,4.2512426
0.39023423,0.4958328,0.6455121,0.8114842,1.122271,1.384794,1.8477131,2.1847112,2.409565,2.808055,3.0945847
3.0815005,3.0648937,3.0335765,2.8073246,2.450263,2.479094,2.8915176,3.2356825,3.6646278,4.281704,4.2514024
3.9362936,4.024498,4.1316524,4.1028614,3.8840547,3.8533185,4.006759,4.140985,4.32983,4.667146,4.6201444
0.06431174,0.08779502,0.12747228,0.21397913,0.3036698,0.3635863,0.6574117,1.0665207,1.6149589,2.3321786,2.7255273
1.9000388,2.1173966,2.362456,2.6619153,3.0324621,3.3329988,3.7005649,3.9422784,4.2694683,4.8110514,4.747812
0.1034466,0.064997196,0.68730927,0.9666365,1.0915804,1.3709008,2.0766873,2.6139333,3.365122,4.149024,3.9648693
0.061300755,0.09052241,0.1255858,0.19510126,0.3129449,0.44887638,0.8924372,1.3934948,2.0340884,2.8162744,3.1744354
3.642775,3.2855473,3.2727385,3.280182,3.0270424,3.0208786,3.3539412,3.628822,3.9476006,4.394434,4.3541384
3.7091994,3.3955412,3.4437697,3.5184226,3.3514402,3.362437,3.6850452,3.9202032,4.184107,4.552363,4.5238366
0.22837019,0.34776747,0.48502004,0.6129452,0.78832173,0.9271636,1.225163,1.4958801,1.687095,2.0312288,2.3885837
2.5896935,2.928681,3.2320461,3.3068752,3.2605727,3.3456511,3.657376,3.9133139,4.2351494,4.7094717,4.63704
0.14514887,0.41883695,1.0013489,1.3667456,1.5819663,1.8748931,2.8021202,3.3224592,4.0174856,4.659379,4.2903037
0.42839742,0.76545817,1.2745422,1.5272143,1.6434095,1.8930535,2.7295,3.2422967,3.8897586,4.511097,4.1802773
2.6231306,2.804335,2.8901398,2.694974,2.3849933,2.4235706,2.8495166,3.207429,3.654624,4.300694,4.274588
3.9822183,4.1523333,4.25327,4.2232122,4.1297045,4.192811,4.372157,4.4903064,4.6536913,4.935141,4.8433666
0.83426815,1.1007996,1.4126146,1.5905385,1.8155907,2.0680718,2.7026951,3.0590072,3.5973103,4.3845887,4.39124
0.064954996,0.09993422,0.14642882,0.23257315,0.31658256,0.37130225,0.6557597,1.055927,1.5916703,2.2964408,2.691064
0.005207777,0.014724016,0.28721547,0.62192774,0.9452362,1.2184265,1.7646613,2.1844745,2.7811248,3.4348958,3.1584806
1.9697925,1.7458149,1.7525505,1.7692482,1.6439737,1.8143952,2.4874039,2.9413018,3.5513287,4.373897,4.4000983
0.26612914,0.29389298,0.38291347,0.48700035,0.60917974,0.70352376,0.9385897,1.1807373,1.3606024,1.700605,2.1068678
-0.021910071,-0.010581136,0.14251399,0.42372358,0.7745608,0.94588673,1.289958,1.6752145,2.225027,2.8416758,2.5929818
2.1892452,2.013697,1.9997723,2.0181656,2.0153644,2.2585583,2.902076,3.3129063,3.8656943,4.6210065,4.628655
0.45077074,0.5032884,0.67106736,0.88225555,1.2689898,1.587869,2.0975704,2.4035285,2.5747046,2.932244,3.1800418
